cnt,pos,speed,DTorque,DAC,STorque
0,-175.877,-88.5316,40,0,0
1,-177.067,-68.4228,79,0,0
2,-177.459,-61.6949,45,0,0
3,-177.701,-58.2021,29,0,0
4,-177.816,-56.7299,15,0,0
5,-177.984,-55.4103,5,0,0
6,-178.094,-53.9656,-5,0,0
7,-178.464,-51.9736,-28,0,0
8,-178.619,-51.5719,-33,0,0
9,-178.825,-51.1237,-39,0,0
10,-178.978,-50.9735,-41,0,0
11,-179.182,-50.9354,-41,0,0
12,-179.386,-51.0975,-40,0,0
13,-179.59,-51.1607,-38,0,0
14,-179.693,-51.1821,-36,0,0
15,-179.897,-51.0498,-35,0,0
16,-180.102,-51.0295,-35,0,0
17,-180.306,-51.0867,-32,0,0
18,-180.51,-51.2548,-26,0,0
19,-180.665,-51.5421,-23,0,0
20,-180.923,-51.287,-16,0,0
21,-181.127,-51.0569,-17,0,0
22,-181.281,-50.9711,-16,0,0
23,-181.484,-50.8638,-14,0,0
24,-181.637,-50.6516,-15,0,0
25,-181.788,-50.449,-16,0,0
26,-181.99,-50.2678,-17,0,0
27,-182.14,-50.1963,-18,0,0
28,-182.241,-50.1093,-19,0,0
29,-182.491,-49.8828,-20,0,0
30,-182.64,-49.6825,-24,0,0
31,-182.739,-49.4727,-28,0,0
32,-182.937,-49.4226,-31,0,0
33,-183.036,-49.3904,-32,0,0
34,-183.135,-49.3916,-34,0,0
35,-183.233,-49.3726,-34,0,0
36,-183.48,-49.3642,-38,0,0
37,-183.579,-49.2462,-39,0,0
38,-183.727,-49.2414,-42,0,0
39,-183.776,-49.2927,-44,0,0
40,-183.973,-49.4596,-45,0,0
41,-184.073,-49.5704,-45,0,0
42,-184.221,-49.5979,-45,0,0
43,-184.32,-49.6277,-46,0,0
44,-184.469,-49.7516,-46,0,0
45,-184.569,-49.7934,-47,0,0
46,-184.669,-49.8041,-47,0,0
47,-184.768,-49.7922,-47,0,0
48,-185.068,-49.9161,-49,0,0
49,-185.217,-49.9388,-48,0,0
50,-185.468,-50.1438,-49,0,0
51,-185.618,-50.1808,-49,0,0
52,-185.718,-50.1939,-48,0,0
53,-185.919,-50.1987,-49,0,0
54,-186.02,-50.1832,-48,0,0
55,-186.12,-50.1677,-48,0,0
56,-186.22,-50.207,-48,0,0
57,-186.371,-50.2642,-46,0,0
58,-186.472,-50.3298,-47,0,0
59,-186.572,-50.3465,-46,0,0
60,-186.673,-50.3155,-46,0,0
61,-186.874,-50.2916,-45,0,0
62,-186.925,-50.2785,-47,0,0
63,-187.025,-50.2869,-47,0,0
64,-187.126,-50.3214,-47,0,0
65,-187.226,-50.2821,-46,0,0
66,-187.377,-50.3489,-45,0,0
67,-187.528,-50.3882,-44,0,0
68,-187.629,-50.3405,-44,0,0
69,-187.73,-50.3703,-44,0,0
70,-187.881,-50.325,-43,0,0
71,-187.981,-50.3572,-43,0,0
72,-188.082,-50.2773,-42,0,0
73,-188.132,-50.3036,-41,0,0
74,-188.384,-50.294,-41,0,0
75,-188.485,-50.4073,-38,0,0
76,-188.636,-50.4442,-39,0,0
77,-188.737,-50.3846,-38,0,0
78,-188.888,-50.3763,-36,0,0
79,-188.938,-50.3405,-36,0,0
80,-189.039,-50.3882,-36,0,0
81,-189.19,-50.3369,-35,0,0
82,-189.391,-50.275,-34,0,0
83,-189.492,-50.3727,-34,0,0
84,-189.593,-50.3775,-33,0,0
85,-189.643,-50.3214,-32,0,0
86,-189.844,-50.2726,-31,0,0
87,-189.894,-50.2118,-32,0,0
88,-190.095,-50.1581,-32,0,0
89,-190.195,-50.1701,-30,0,0
90,-190.346,-50.0961,-31,0,0
91,-190.446,-50.0568,-31,0,0
92,-190.546,-50.12,-30,0,0
93,-190.646,-50.0997,-30,0,0
94,-190.747,-50.0354,-31,0,0
95,-190.896,-49.9698,-31,0,0
96,-191.046,-49.8959,-31,0,0
97,-191.096,-49.8232,-32,0,0
98,-191.246,-49.7838,-33,0,0
99,-191.295,-49.7981,-33,0,0
100,-191.495,-49.7946,-34,0,0
101,-191.594,-49.7493,-35,0,0
102,-191.743,-49.729,-36,0,0
103,-191.793,-49.6062,-37,0,0
104,-191.991,-49.5848,-39,0,0
105,-192.041,-49.5454,-40,0,0
106,-192.14,-49.5657,-39,0,0
107,-192.239,-49.574,-42,0,0
108,-192.437,-49.6897,-42,0,0
109,-192.586,-49.7004,-42,0,0
110,-192.735,-49.6587,-42,0,0
111,-192.785,-49.7016,-42,0,0
112,-192.984,-49.6622,-44,0,0
113,-193.033,-49.7564,-44,0,0
114,-193.133,-49.7898,-43,0,0
115,-193.233,-49.8112,-44,0,0
116,-193.432,-49.9507,-43,0,0
117,-193.532,-49.9781,-43,0,0
118,-193.632,-49.9912,-42,0,0
119,-193.732,-50.002,-43,0,0
120,-193.932,-49.9531,-43,0,0
121,-193.982,-50.0067,-42,0,0
122,-194.132,-50.0842,-42,0,0
123,-194.282,-50.1355,-42,0,0
124,-194.433,-50.1367,-41,0,0
125,-194.533,-50.1629,-39,0,0
126,-194.633,-50.1259,-40,0,0
127,-194.734,-50.1212,-41,0,0
128,-194.934,-50.0532,-42,0,0
129,-195.084,-50.0175,-42,0,0
130,-195.184,-50.0652,-41,0,0
131,-195.234,-50.0663,-42,0,0
132,-195.434,-50.1653,-41,0,0
133,-195.535,-50.1915,-39,0,0
134,-195.635,-50.176,-40,0,0
135,-195.685,-50.1176,-40,0,0
136,-195.936,-50.0544,-41,0,0
137,-196.036,-50.0604,-40,0,0
138,-196.186,-50.0616,-39,0,0
139,-196.286,-50.1391,-40,0,0
140,-196.487,-50.0985,-38,0,0
141,-196.637,-50.0377,-39,0,0
142,-196.787,-50.0306,-40,0,0
143,-196.837,-50.0008,-40,0,0
144,-197.037,-49.9185,-40,0,0
145,-197.087,-49.9901,-41,0,0
146,-197.237,-49.9889,-40,0,0
147,-197.287,-50.0246,-39,0,0
148,-197.588,-50.1403,-38,0,0
149,-197.738,-50.0413,-38,0,0
150,-197.938,-50.0163,-39,0,0
151,-198.038,-50.1069,-38,0,0
152,-198.189,-50.0485,-37,0,0
153,-198.289,-50.1152,-38,0,0
154,-198.489,-50.1009,-36,0,0
155,-198.589,-50.0342,-37,0,0
156,-198.689,-49.9948,-37,0,0
157,-198.739,-49.9567,-39,0,0
158,-198.939,-49.8828,-39,0,0
159,-198.989,-49.903,-38,0,0
160,-199.139,-49.9424,-39,0,0
161,-199.238,-49.9185,-39,0,0
162,-199.438,-49.9459,-40,0,0
163,-199.488,-49.9531,-39,0,0
164,-199.638,-49.8792,-41,0,0
165,-199.688,-49.8708,-41,0,0
166,-199.887,-49.8899,-41,0,0
167,-199.987,-49.872,-42,0,0
168,-200.137,-49.8625,-42,0,0
169,-200.236,-49.9269,-41,0,0
170,-200.386,-49.9197,-41,0,0
171,-200.486,-49.9436,-41,0,0
172,-200.586,-49.9161,-42,0,0
173,-200.686,-49.9948,-41,0,0
174,-200.935,-49.909,-42,0,0
175,-201.035,-49.8911,-42,0,0
176,-201.185,-49.8935,-42,0,0
177,-201.285,-49.909,-43,0,0
178,-201.485,-50.0222,-42,0,0
179,-201.635,-50.0485,-42,0,0
180,-201.785,-50.0497,-42,0,0
181,-201.885,-50.1033,-41,0,0
182,-202.136,-50.1581,-40,0,0
183,-202.236,-50.1474,-39,0,0
184,-202.487,-50.1879,-38,0,0
185,-202.637,-50.1629,-38,0,0
186,-202.738,-50.1355,-38,0,0
187,-202.888,-50.1391,-38,0,0
188,-203.138,-50.0461,-38,0,0
189,-203.238,-50.0175,-38,0,0
190,-203.539,-50.0711,-37,0,0
191,-203.639,-50.0783,-38,0,0
192,-203.739,-50.0759,-37,0,0
193,-203.889,-50.0294,-37,0,0
194,-204.089,-50.0091,-38,0,0
195,-204.239,-49.9543,-38,0,0
196,-204.439,-49.9102,-39,0,0
197,-204.589,-49.965,-38,0,0
198,-204.689,-49.9495,-38,0,0
199,-204.789,-49.8792,-38,0,0
200,-205.138,-49.8363,-41,0,0
201,-205.238,-49.8208,-40,0,0
202,-205.387,-49.965,-41,0,0
203,-205.537,-49.996,-38,0,0
204,-205.637,-50.0115,-40,0,0
205,-205.737,-49.9257,-40,0,0
206,-205.987,-49.9209,-40,0,0
207,-206.087,-49.9352,-40,0,0
208,-206.187,-49.9817,-39,0,0
209,-206.337,-50.0175,-39,0,0
210,-206.537,-50.0032,-38,0,0
211,-206.637,-50.0342,-39,0,0
212,-206.787,-49.9328,-39,0,0
213,-207.036,-49.8911,-41,0,0
214,-207.136,-49.9293,-41,0,0
215,-207.286,-49.9412,-41,0,0
216,-207.586,-50.0389,-41,0,0
217,-207.736,-50.0067,-41,0,0
218,-207.886,-49.8697,-42,0,0
219,-208.036,-49.909,-42,0,0
220,-208.135,-49.9078,-42,0,0
221,-208.235,-50.0032,-41,0,0
222,-208.535,-50.0067,-40,0,0
223,-208.635,-50.0163,-41,0,0
224,-208.785,-49.8601,-43,0,0
225,-208.935,-49.8625,-44,0,0
226,-209.085,-49.9018,-44,0,0
227,-209.234,-49.8935,-43,0,0
228,-209.334,-50.0401,-43,0,0
229,-209.535,-50.0163,-42,0,0
230,-209.585,-50.0234,-43,0,0
231,-209.735,-50.0365,-42,0,0
232,-209.785,-50.0365,-41,0,0
233,-210.035,-50.1021,-42,0,0
234,-210.135,-50.12,-41,0,0
235,-210.285,-50.1474,-41,0,0
236,-210.436,-50.12,-41,0,0
237,-210.536,-50.1736,-39,0,0
238,-210.637,-50.1772,-40,0,0
239,-210.687,-50.1355,-39,0,0
240,-210.987,-50.002,-41,0,0
241,-211.087,-49.9948,-41,0,0
242,-211.187,-49.9507,-40,0,0
243,-211.287,-50.0985,-41,0,0
244,-211.438,-50.0807,-39,0,0
245,-211.538,-50.064,-39,0,0
246,-211.738,-50.052,-39,0,0
247,-211.838,-49.9817,-39,0,0
248,-212.038,-50.0234,-39,0,0
249,-212.088,-50.0175,-40,0,0
250,-212.238,-50.0342,-39,0,0
251,-212.288,-50.0485,-39,0,0
252,-212.589,-50.0675,-39,0,0
253,-212.739,-50.002,-39,0,0
254,-212.938,-49.9161,-41,0,0
255,-213.038,-49.9722,-40,0,0
256,-213.138,-49.9924,-39,0,0
257,-213.238,-50.0437,-41,0,0
258,-213.438,-50.0938,-39,0,0
259,-213.538,-50.0342,-38,0,0
260,-213.638,-50.0723,-39,0,0
261,-213.738,-50.0115,-39,0,0
262,-213.939,-49.9316,-39,0,0
263,-214.038,-49.9841,-38,0,0
264,-214.139,-50.0556,-37,0,0
265,-214.289,-50.0902,-38,0,0
266,-214.439,-50.0389,-37,0,0
267,-214.539,-50.0413,-37,0,0
268,-214.639,-49.9972,-38,0,0
269,-214.689,-49.9543,-38,0,0
270,-214.889,-49.9424,-38,0,0
271,-215.039,-49.934,-39,0,0
272,-215.139,-49.8995,-38,0,0
273,-215.288,-49.8792,-39,0,0
274,-215.439,-49.9662,-40,0,0
275,-215.538,-50.0103,-39,0,0
276,-215.688,-50.0222,-38,0,0
277,-215.788,-50.021,-39,0,0
278,-215.988,-49.9781,-39,0,0
279,-216.088,-49.9388,-39,0,0
280,-216.188,-49.9066,-40,0,0
281,-216.288,-49.94,-40,0,0
282,-216.488,-49.9698,-39,0,0
283,-216.538,-49.8995,-39,0,0
284,-216.737,-49.8875,-41,0,0
285,-216.837,-49.8577,-40,0,0
286,-217.036,-49.8101,-41,0,0
287,-217.136,-49.8422,-42,0,0
288,-217.236,-49.8649,-42,0,0
289,-217.385,-49.9054,-42,0,0
290,-217.485,-49.9459,-41,0,0
291,-217.585,-50.0222,-42,0,0
292,-217.685,-49.9614,-42,0,0
293,-217.885,-49.8959,-42,0,0
294,-218.035,-50.002,-41,0,0
295,-218.235,-49.9793,-41,0,0
296,-218.385,-50.1486,-40,0,0
297,-218.536,-50.1259,-39,0,0
298,-218.636,-50.0306,-40,0,0
299,-218.736,-50.0234,-41,0,0
300,-218.936,-49.9316,-42,0,0
301,-219.036,-49.9567,-41,0,0
302,-219.136,-49.9912,-42,0,0
303,-219.236,-50.0151,-42,0,0
304,-219.436,-50.0985,-41,0,0
305,-219.536,-50.0711,-40,0,0
306,-219.636,-50.0866,-41,0,0
307,-219.736,-50.0485,-41,0,0
308,-219.886,-50.0199,-40,0,0
309,-220.036,-50.0818,-40,0,0
310,-220.187,-50.1116,-39,0,0
311,-220.287,-50.0747,-39,0,0
312,-220.487,-50.1379,-38,0,0
313,-220.588,-50.1486,-39,0,0
314,-220.738,-50.0079,-39,0,0
315,-220.888,-50.0199,-39,0,0
316,-221.088,-49.9436,-40,0,0
317,-221.288,-50.0151,-40,0,0
318,-221.538,-50.1236,-39,0,0
319,-221.738,-50.0771,-39,0,0
320,-221.989,-50.0056,-38,0,0
321,-222.239,-49.9662,-39,0,0
322,-222.489,-50.0187,-37,0,0
323,-222.689,-49.9662,-39,0,0
