cnt,pos,speed,DTorque,DAC,STorque
0,-175.031,26.7938,-1,0,0
1,-174.571,23.9341,-1,0,0
2,-174.429,22.8243,-1,0,0
3,-174.316,21.817,-1,0,0
4,-174.25,21.4117,-1,0,0
5,-174.105,20.079,0,0,0
6,-174.066,19.6713,-1,0,0
7,-174.008,18.7737,0,0,0
8,-173.971,18.3696,0,0,0
9,-173.916,17.8808,-1,0,0
10,-173.814,16.2811,0,0,0
11,-173.766,15.8794,0,0,0
12,-173.72,14.921,0,0,0
13,-173.69,14.4775,0,0,0
14,-173.647,13.8994,0,0,0
15,-173.606,13.2521,0,0,0
16,-173.542,12.1316,-1,0,0
17,-173.518,11.7143,-1,0,0
18,-173.484,11.0146,0,0,0
19,-173.441,10.3292,0,0,0
20,-173.421,9.6783,0,0,0
21,-173.393,9.1991,0,0,0
22,-173.384,8.733,0,0,0
23,-173.35,8.0798,0,0,0
24,-173.342,7.678,0,0,0
25,-173.32,7.2739,0,0,0
26,-173.306,6.9413,0,0,0
27,-173.274,5.8816,0,0,0
28,-173.262,5.5192,0,0,0
29,-173.246,5.0054,0,0,0
30,-173.219,4.1352,0,0,0
31,-173.211,3.6298,0,0,0
32,-173.194,2.9277,0,0,0
33,-173.183,2.5295,0,0,0
34,-173.179,2.0849,0,0,0
35,-173.169,1.5676,0,0,0
36,-173.165,1.1944,0,0,0
37,-173.164,0.7915,0,0,0
38,-173.161,0.4113,0,0,0
39,-173.161,0.1407,0,0,0
40,-173.161,-0.1156,0,0,0
41,-173.161,-0.2336,0,0,0
42,-173.162,-0.5698,0,0,0
43,-173.164,-0.5853,0,0,0
44,-173.165,-0.5853,0,0,0
45,-173.166,-0.5781,0,0,0
46,-173.168,-0.5293,0,0,0
47,-173.168,-0.4887,0,0,0
48,-173.169,-0.4494,0,0,0
49,-173.17,-0.4041,0,0,0
50,-173.171,-0.3469,0,0,0
51,-173.172,-0.2575,0,0,0
52,-173.173,-0.1669,0,0,0
53,-173.173,-0.1061,0,0,0
54,-173.173,-0.0489,0,0,0
55,-173.173,-0.0262,0,0,0
56,-173.173,0.0417,0,0,0
57,-173.173,0.0632,0,0,0
58,-173.173,0.0656,0,0,0
59,-173.173,0.0536,0,0,0
60,-173.173,0.037,0,0,0
61,-173.173,0.0143,0,0,0
62,-173.173,-0.006,0,0,0
63,-173.173,-0.0215,0,0,0
64,-173.173,-0.0322,0,0,0
65,-173.173,-0.0119,0,0,0
66,-173.173,-0.0048,0,0,0
67,-173.173,-0.0012,0,0,0
68,-173.173,-0.0024,0,0,0
69,-173.173,-0.0024,0,0,0
70,-173.173,-0.0012,0,0,0
71,-173.173,-0.0012,0,0,0
72,-173.173,0.0036,0,0,0
73,-173.173,0.0012,0,0,0
74,-173.173,0,0,0,0
75,-173.173,-0.0024,0,0,0
76,-173.173,-0.0036,0,0,0
77,-173.173,0.006,0,0,0
78,-173.173,0.0072,0,0,0
79,-173.173,0.0024,0,0,0
80,-173.173,-0.0048,0,0,0
81,-173.173,-0.0048,0,0,0
82,-173.173,-0.0048,0,0,0
83,-173.173,-0.0072,0,0,0
84,-173.173,0,0,0,0
85,-173.173,0.0024,0,0,0
86,-173.173,0.0048,0,0,0
87,-173.173,0.0024,0,0,0
88,-173.173,0.0012,0,0,0
89,-173.173,-0.0036,0,0,0
90,-173.173,-0.0012,0,0,0
91,-173.173,-0.0012,0,0,0
92,-173.173,0,0,0,0
93,-173.173,-0.0012,0,0,0
94,-173.173,-0.0048,0,0,0
95,-173.173,0,0,0,0
96,-173.173,-0.0036,0,0,0
97,-173.173,-0.006,0,0,0
98,-173.173,-0.0036,0,0,0
99,-173.173,-0.0012,0,0,0
100,-173.173,0.0048,0,0,0
101,-173.173,0.0024,0,0,0
102,-173.173,-0.0012,0,0,0
103,-173.173,0.0036,0,0,0
104,-173.173,0.0036,0,0,0
105,-173.173,-0.0012,0,0,0
106,-173.173,0.0012,0,0,0
107,-173.173,-0.0036,0,0,0
108,-173.173,0.0012,0,0,0
109,-173.173,0.0012,0,0,0
110,-173.173,-0.0012,0,0,0
111,-173.173,-0.0072,0,0,0
112,-173.173,0,0,0,0
113,-173.173,0.0012,0,0,0
114,-173.173,0,0,0,0
115,-173.173,0.0024,0,0,0
116,-173.173,0,0,0,0
117,-173.173,-0.0024,0,0,0
118,-173.173,-0.0024,0,0,0
119,-173.173,0.0024,0,0,0
120,-173.173,-0.0024,0,0,0
121,-173.173,-0.0024,0,0,0
122,-173.173,-0.0012,0,0,0
123,-173.173,0,0,0,0
124,-173.173,-0.0024,0,0,0
125,-173.173,0,0,0,0
126,-173.173,-0.0036,0,0,0
127,-173.173,0.0012,0,0,0
128,-173.173,0.0036,0,0,0
129,-173.173,0,0,0,0
130,-173.173,0.0012,0,0,0
131,-173.173,-0.0012,0,0,0
132,-173.173,0,0,0,0
133,-173.173,0.0024,0,0,0
134,-173.173,-0.0024,0,0,0
135,-173.173,-0.0012,0,0,0
136,-173.173,-0.0048,0,0,0
137,-173.173,-0.0036,0,0,0
138,-173.173,0,0,0,0
139,-173.173,-0.0024,0,0,0
140,-173.173,-0.0036,0,0,0
141,-173.173,-0.0024,0,0,0
142,-173.173,-0.0024,0,0,0
143,-173.173,0,0,0,0
144,-173.173,0.0024,0,0,0
145,-173.173,0.0024,0,0,0
146,-173.173,0.0024,0,0,0
147,-173.173,0,0,0,0
148,-173.173,0.0012,0,0,0
149,-173.173,0,0,0,0
150,-173.173,-0.0012,0,0,0
151,-173.173,0.0012,0,0,0
