cnt,pos,speed,DTorque,Force
3780,88.3304,-2.4795,41,18
3781,88.3447,-2.1743,41,18
3782,88.349,-2.135,41,18
3783,88.3532,-2.0348,41,18
3784,88.3571,-1.8441,41,18
3785,88.3608,-1.7571,41,18
3786,88.3626,-1.7034,41,18
3787,88.3659,-1.5497,41,18
3788,88.3689,-1.4758,41,18
3789,88.3704,-1.3876,41,18
3790,88.3731,-1.2755,41,18
3791,88.3744,-1.1897,41,18
3792,88.3767,-1.0502,41,18
3793,88.3778,-0.9954,41,18
3794,88.3797,-0.9417,41,18
3795,88.3806,-0.7999,41,18
3796,88.3821,-0.6723,41,18
3797,88.3828,-0.6151,41,18
3798,88.384,-0.4852,41,18
3799,88.3849,-0.3528,41,18
3800,88.3852,-0.2909,41,18
3801,88.3857,-0.1681,41,18
3802,88.3859,-0.1049,41,18
3803,88.3861,0.0131,41,18
3804,88.386,0.0632,41,18
3805,88.3859,0.1371,41,18
3806,88.385,-0.0334,41,18
3807,88.3851,-0.0024,41,18
3808,88.3851,0.0262,41,18
3809,88.385,0.0334,41,18
3810,88.385,0.0441,41,18
3811,88.3849,0.0346,41,18
3812,88.3848,0.0072,41,18
3813,88.3848,-0.0024,41,18
3814,88.3848,-0.0119,41,18
3815,88.3849,-0.0191,41,18
3816,88.3849,-0.0215,41,18
3817,88.3849,-0.0191,41,18
3818,88.3849,-0.0143,41,18
3819,88.3849,-0.0012,41,18
3820,88.3849,0,41,18
3821,88.3849,0.0107,41,18
3822,88.3849,0.0155,41,18
3823,88.3849,0.0167,41,18
3824,88.3849,0.0155,41,18
3825,88.3849,0.0131,41,18
3826,88.3849,0.0083,41,18
3827,88.3849,0.0036,41,18
3828,88.3849,-0.0036,41,18
3829,88.3849,-0.0048,41,18
3830,88.3849,-0.0095,41,18
3831,88.3849,-0.0107,41,18
3832,88.3849,-0.0095,41,18
3833,88.3849,-0.0072,41,18
3834,88.3849,-0.0036,41,18
3835,88.3849,0.0024,41,18
3836,88.3849,0.0036,41,18
3837,88.3849,0.0072,41,18
3838,88.3849,0.0083,41,18
3839,88.3849,0.0083,41,18
3840,88.3849,0.0107,41,18
3841,88.3849,0.0083,41,18
3842,88.3849,0.006,41,18
3843,88.3848,0.006,41,18
3844,88.3848,0,41,18
3845,88.3848,0.0024,41,18
3846,88.3848,-0.006,41,18
3847,88.3848,-0.0036,41,18
3848,88.3848,-0.0024,41,18
3849,88.3849,-0.0036,41,18
3850,88.3849,-0.0024,41,18
3851,88.3849,0.0036,41,18
3852,88.3849,0.0036,41,18
3853,88.3848,0.0048,41,18
3854,88.3848,0.006,41,18
3855,88.3848,0.0083,41,18
3856,88.3848,0.0036,41,18
3857,88.3848,0.0036,41,18
3858,88.3848,0.0048,41,18
3859,88.3848,0.0048,41,18
3860,88.3848,0.0012,41,18
3861,88.3848,0.0012,41,18
3862,88.3848,0.0012,41,18
3863,88.3848,0.0048,41,18
3864,88.3848,0.006,41,18
3865,88.3848,0.0036,41,18
3866,88.3848,0.0072,41,18
3867,88.3848,0.0036,41,18
3868,88.3848,0.0036,41,18
3869,88.3848,0.0036,41,18
3870,88.3848,0.0036,41,18
3871,88.3848,0.0024,41,18
3872,88.3848,-0.0036,41,18
3873,88.3848,-0.0036,41,18
3874,88.3848,-0.0012,41,18
3875,88.3848,0.0024,41,18
3876,88.3848,0,41,18
3877,88.3848,0.0048,41,18
3878,88.3848,0.006,41,18
3879,88.3848,0.0036,41,18
3880,88.3848,0.0024,41,18
3881,88.3848,-0.0012,41,18
3882,88.3848,0.0012,41,18
3883,88.3848,0.0012,41,18
3884,88.3848,0.006,41,18
3885,88.3848,0.0036,41,18
3886,88.3848,0.0024,41,18
3887,88.3848,0.0012,41,18
3888,88.3848,0.0036,41,18
3889,88.3847,0.006,41,18
3890,88.3847,0.0083,41,18
3891,88.3847,0.0131,41,18
3892,88.3847,0.0095,41,18
3893,88.3847,0.0072,41,18
3894,88.3847,0.0048,41,18
3895,88.3847,0.0036,41,18
3896,88.3847,0.0012,41,18
3897,88.3847,0.0083,41,18
3898,88.3847,0.0072,41,18
3899,88.3847,0.0072,41,18
3900,88.3847,0.0095,41,18
3901,88.3847,0.0095,41,18
3902,88.3846,0.006,41,18
3903,88.3846,0.0072,41,18
3904,88.3846,0.0095,41,18
3905,88.3846,0.0072,41,18
3906,88.3846,0.0048,41,18
3907,88.3846,0.006,41,18
3908,88.3846,0.0024,41,18
3909,88.3846,0,41,18
3910,88.3846,-0.0024,41,18
3911,88.3846,-0.0012,41,18
3912,88.3846,0.0024,41,18
3913,88.3846,0.0012,41,18
3914,88.3846,0.0024,41,18
3915,88.3846,0.0012,41,18
3916,88.3846,0.0048,41,18
3917,88.3846,0.0036,41,18
3918,88.3846,0.0083,41,18
3919,88.3846,0.0083,41,18
3920,88.3846,0.0072,41,18
3921,88.3846,0.0072,41,18
3922,88.3846,0.0048,41,18
3923,88.3846,0.0048,41,18
3924,88.3846,0.0048,41,18
3925,88.3846,0.0072,41,18
3926,88.3845,0.0024,41,18
3927,88.3845,0,41,18
3928,88.3845,0.0012,41,18
3929,88.3845,-0.0012,41,18
3930,88.3845,-0.0024,41,18
3931,88.3845,0.0012,41,18
3932,88.3845,-0.0036,41,18
3933,88.3845,-0.0024,41,18
3934,88.3846,0.0024,41,18
3935,88.3845,-0.0012,41,18
3936,88.3845,0.0036,41,18
3937,88.3845,0.0024,41,18
3938,88.3845,0.006,41,18
3939,88.3845,0.0036,41,18
3940,88.3845,0.0012,41,18
3941,88.3845,0.0012,41,18
3942,88.3845,-0.0012,41,18
3943,88.3845,0.0012,41,18
3944,88.3845,0,41,18
3945,88.3845,0.0024,41,18
3946,88.3845,-0.0036,41,18
3947,88.3845,0,41,18
3948,88.3845,0.0012,41,18
3949,88.3845,0,41,18
3950,88.3845,0.006,41,18
3951,88.3845,0.0048,41,18
3952,88.3845,0.006,41,18
3953,88.3845,0.0036,41,18
3954,88.3845,0.0024,41,18
3955,88.3845,0.0024,41,18
3956,88.3845,0.0012,41,18
3957,88.3845,0.0048,41,18
3958,88.3845,0.0024,41,18
3959,88.3845,0.0024,41,18
3960,88.3845,0,41,18
3961,88.3845,-0.0024,41,18
3962,88.3845,-0.0012,41,18
3963,88.3845,-0.0036,41,18
3964,88.3845,0.0012,41,18
3965,88.3845,-0.0024,41,18
3966,88.3845,0.0036,41,18
3967,88.3845,-0.0024,41,18
3968,88.3845,0.0024,41,18
3969,88.3845,-0.0012,41,18
3970,88.3845,-0.0012,41,18
3971,88.3845,0,41,18
3972,88.3845,-0.0012,41,18
3973,88.3845,0,41,18
3974,88.3845,0.0012,41,18
3975,88.3845,0.0036,41,18
3976,88.3845,-0.0024,41,18
3977,88.3845,0.0012,41,18
3978,88.3845,0,41,18
3979,88.3845,0.0012,41,18
3980,88.3845,0.0048,41,18
3981,88.3845,0,41,18
3982,88.3845,0.0024,41,18
3983,88.3845,0.0036,41,18
3984,88.3845,0.0012,41,18
3985,88.3845,0.0024,41,18
3986,88.3845,0,41,18
3987,88.3845,-0.0012,41,18
3988,88.3845,-0.0012,41,18
3989,88.3845,-0.0072,41,18
3990,88.3845,-0.0048,41,18
3991,88.3845,-0.0048,41,18
3992,88.3845,0,41,18
3993,88.3845,0,41,18
3994,88.3845,0.0012,41,18
3995,88.3845,0,41,18
3996,88.3845,0,41,18
3997,88.3845,0.0024,41,18
3998,88.3845,0.0036,41,18
3999,88.3845,0,41,18
4000,88.3845,0.0048,41,18
4001,88.3845,0.0024,41,18
4002,88.3845,0.0024,41,18
4003,88.3845,0.0012,41,18
4004,88.3845,0.0012,41,18
4005,88.3845,-0.0036,41,18
4006,88.3845,-0.0036,41,18
4007,88.3845,-0.0024,41,18
4008,88.3845,0,41,18
4009,88.3845,0.0012,41,18
4010,88.3845,0.0048,41,18
4011,88.3845,0.0036,41,18
4012,88.3845,0.0036,41,18
4013,88.3845,0.0024,41,18
4014,88.3845,0.0024,41,18
4015,88.3845,0,41,18
4016,88.3845,-0.0024,41,18
4017,88.3845,-0.0048,41,18
4018,88.3845,-0.0012,41,18
4019,88.3845,-0.0036,41,18
4020,88.3845,-0.0036,41,18
4021,88.3845,0,41,18
4022,88.3845,0.0048,41,18
4023,88.3845,0.0036,41,18
4024,88.3845,0.006,41,18
4025,88.3845,0.006,41,18
4026,88.3845,0.0024,41,18
4027,88.3845,0,41,18
4028,88.3845,0,41,18
4029,88.3845,0,41,18
4030,88.3845,-0.0036,41,18
4031,88.3845,-0.0083,41,18
4032,88.3845,-0.006,41,18
4033,88.3845,-0.006,41,18
4034,88.3845,-0.0048,41,18
4035,88.3845,-0.0048,41,18
4036,88.3845,0.0036,41,18
4037,88.3845,0.0072,41,18
4038,88.3845,0.006,41,18
4039,88.3845,0.0072,41,18
4040,88.3845,0.0036,41,18
4041,88.3845,0,41,18
4042,88.3845,0,41,18
4043,88.3845,0.0012,41,18
4044,88.3845,-0.0048,41,18
4045,88.3845,-0.0036,41,18
4046,88.3845,-0.0024,41,18
4047,88.3845,-0.006,41,18
4048,88.3845,-0.0048,41,18
4049,88.3845,-0.0024,41,18
4050,88.3845,0.0012,41,18
4051,88.3845,0.0012,41,18
4052,88.3845,0.0036,41,18
4053,88.3845,0.0095,41,18
4054,88.3845,0.0072,41,18
4055,88.3845,0.0072,41,18
4056,88.3845,0.0024,41,18
4057,88.3845,0,41,18
4058,88.3845,0.0012,41,18
4059,88.3845,-0.0024,41,18
4060,88.3845,-0.0048,41,18
4061,88.3845,-0.0036,41,18
4062,88.3845,-0.006,41,18
4063,88.3845,-0.0048,41,18
4064,88.3845,-0.0036,41,18
4065,88.3845,0.0036,41,18
4066,88.3845,0.0048,41,18
4067,88.3845,0.0048,41,18
4068,88.3845,0.0072,41,18
4069,88.3845,0.0048,41,18
4070,88.3845,0.0048,41,18
4071,88.3845,0,41,18
4072,88.3845,-0.0036,41,18
4073,88.3845,-0.0036,41,18
4074,88.3845,-0.0083,41,18
4075,88.3845,-0.0048,41,18
4076,88.3845,0,41,18
4077,88.3845,-0.0036,41,18
4078,88.3845,0.006,41,18
4079,88.3845,0.006,41,18
4080,88.3845,0.0048,41,18
4081,88.3845,0.0048,41,18
4082,88.3845,0.0048,41,18
4083,88.3844,0.0024,41,18
4084,88.3844,0.006,41,18
4085,88.3844,-0.0012,41,18
4086,88.3844,-0.0012,41,18
4087,88.3844,-0.0024,41,18
4088,88.3845,-0.0036,41,18
4089,88.3845,0,41,18
4090,88.3845,-0.006,41,18
4091,88.3845,-0.006,41,18
4092,88.3845,-0.0012,41,18
4093,88.3845,-0.0012,41,18
4094,88.3845,-0.0024,41,18
4095,88.3845,0.0012,41,18
4096,88.3845,0.0012,41,18
4097,88.3845,0,41,18
4098,88.3845,-0.0024,41,18
4099,88.3845,0,41,18
4100,88.3845,0,41,18
4101,88.3845,0.0024,41,18
4102,88.3845,-0.0012,41,18
4103,88.3845,0,41,18
4104,88.3845,0,41,18
4105,88.3845,0,41,18
4106,88.3845,0.0024,41,18
4107,88.3845,0,41,18
4108,88.3845,-0.0012,41,18
4109,88.3845,-0.0048,41,18
4110,88.3845,-0.0012,41,18
4111,88.3845,-0.0024,41,18
4112,88.3845,-0.0024,41,18
4113,88.3845,0.0036,41,18
4114,88.3845,0.0012,41,18
4115,88.3845,0.006,41,18
4116,88.3845,0.0024,41,18
4117,88.3845,0.0012,41,18
4118,88.3845,0.0012,41,18
4119,88.3845,0,41,18
4120,88.3845,-0.0012,41,18
4121,88.3845,-0.0048,41,18
4122,88.3845,-0.0036,41,18
4123,88.3845,-0.0024,41,18
4124,88.3845,-0.0036,41,18
4125,88.3845,-0.0036,41,18
4126,88.3845,-0.0012,41,18
4127,88.3845,-0.0024,41,18
4128,88.3845,0.0012,41,18
4129,88.3845,0.006,41,18
4130,88.3845,0.0048,41,18
4131,88.3845,0.0048,41,18
4132,88.3845,0.0024,41,18
4133,88.3845,0.0024,41,18
4134,88.3845,-0.0012,41,18
4135,88.3845,-0.0024,41,18
4136,88.3845,-0.0012,41,18
4137,88.3845,0,41,18
4138,88.3845,0,41,18
4139,88.3845,-0.0024,41,18
4140,88.3845,-0.0012,41,18
4141,88.3845,-0.0048,41,18
4142,88.3845,-0.006,41,18
4143,88.3845,0.0012,41,18
4144,88.3845,0.0048,41,18
4145,88.3845,0.0024,41,18
4146,88.3845,0.0036,41,18
4147,88.3845,0.0036,41,18
4148,88.3845,0.0048,41,18
4149,88.3845,0.0036,41,18
4150,88.3845,0.0024,41,18
4151,88.3845,0,41,18
4152,88.3845,-0.0024,41,18
4153,88.3845,-0.0036,41,18
4154,88.3845,-0.0012,41,18
4155,88.3845,-0.0036,41,18
4156,88.3845,-0.0024,41,18
4157,88.3845,0,41,18
4158,88.3845,-0.0024,41,18
4159,88.3845,0.0036,41,18
4160,88.3845,0.0048,41,18
4161,88.3845,0.0072,41,18
4162,88.3844,0.006,41,18
4163,88.3844,0.0036,41,18
4164,88.3844,0.006,41,18
4165,88.3844,0,41,18
4166,88.3844,0.0012,41,18
4167,88.3844,-0.0012,41,18
4168,88.3844,-0.0072,41,18
4169,88.3844,-0.0024,41,18
4170,88.3845,-0.0036,41,18
4171,88.3845,0,41,18
4172,88.3845,-0.0012,41,18
4173,88.3845,0,41,18
4174,88.3845,0.0012,41,18
4175,88.3844,0.0036,41,18
4176,88.3844,0.0012,41,18
4177,88.3844,0.0012,41,18
4178,88.3844,0.0024,41,18
4179,88.3844,-0.0024,41,18
4180,88.3844,0.0012,41,18
4181,88.3844,-0.0024,41,18
4182,88.3844,-0.0012,41,18
4183,88.3844,0.0024,41,18
4184,88.3844,-0.0024,41,18
4185,88.3844,-0.0036,41,18
4186,88.3844,0.0048,41,18
4187,88.3844,0.006,41,18
4188,88.3844,0.0036,41,18
4189,88.3844,0.0024,41,18
4190,88.3844,0.0024,41,18
4191,88.3844,0,41,18
4192,88.3844,-0.0036,41,18
4193,88.3844,-0.0072,41,18
4194,88.3844,-0.0048,41,18
4195,88.3844,-0.0036,41,18
4196,88.3844,-0.006,41,18
4197,88.3844,0,41,18
4198,88.3844,-0.0024,41,18
4199,88.3844,0.0012,41,18
4200,88.3844,0.0048,41,18
4201,88.3844,0.006,41,18
4202,88.3844,0.006,41,18
4203,88.3844,0.0036,41,18
4204,88.3844,0.0036,41,18
4205,88.3844,0,41,18
4206,88.3844,-0.0036,41,18
4207,88.3844,-0.0012,41,18
4208,88.3844,-0.0036,41,18
4209,88.3844,-0.006,41,18
4210,88.3844,-0.0048,41,18
4211,88.3844,-0.0048,41,18
4212,88.3844,-0.0012,41,18
4213,88.3844,0,41,18
4214,88.3844,0,41,18
4215,88.3844,0.0036,41,18
4216,88.3844,0.0024,41,18
4217,88.3844,0.0024,41,18
4218,88.3844,0.0072,41,18
4219,88.3844,0.0048,41,18
4220,88.3844,0.0012,41,18
4221,88.3844,0.0024,41,18
4222,88.3844,-0.0012,41,18
4223,88.3844,-0.0024,41,18
4224,88.3844,-0.0036,41,18
4225,88.3844,-0.0024,41,18
4226,88.3844,-0.006,41,18
