cnt,pos,speed,DTorque,DAC,STorque,Force
1,-99.0238,0.0012,21,0,0,9
3,-99.0238,0,21,0,0,9
5,-99.0238,-0.0024,21,0,0,9
7,-99.0238,0,21,0,0,9
9,-99.0238,0.0012,21,0,0,9
11,-99.0238,0.0036,21,0,0,9
13,-99.0238,-0.0036,21,0,0,9
15,-99.0238,-0.0036,21,0,0,9
17,-99.0238,0.0012,21,0,0,9
19,-99.0238,-0.0036,21,0,0,9
21,-99.0238,0,21,0,0,9
23,-99.0238,-0.0036,21,0,0,9
25,-99.0238,-0.0012,21,0,0,9
27,-99.0238,0,21,0,0,9
29,-99.0238,-0.0012,21,0,0,9
31,-99.0238,0,21,0,0,9
33,-99.0238,0.0012,21,0,0,9
35,-99.0238,-0.0012,21,0,0,9
37,-99.0238,0.0012,21,0,0,9
39,-99.0238,0.0012,21,0,0,9
41,-99.0238,0.0024,21,0,0,9
43,-99.0238,0,21,0,0,9
45,-99.0238,-0.0012,21,0,0,9
47,-99.0238,0.0024,21,0,0,9
49,-99.0238,0.0012,21,0,0,9
51,-99.0238,-0.0024,21,0,0,9
53,-99.0238,0.0036,21,0,0,9
55,-99.0238,0.0036,21,0,0,9
57,-99.0238,-0.0024,21,0,0,9
59,-99.0238,0,21,0,0,9
61,-99.0238,-0.0024,21,0,0,9
63,-99.0238,0.0012,21,0,0,9
65,-99.0238,-0.0012,21,0,0,9
67,-99.0238,-0.0048,21,0,0,9
69,-99.0238,0.0012,21,0,0,9
71,-99.0238,0.0024,21,0,0,9
73,-99.0238,-0.0024,21,0,0,9
75,-99.0238,0.0012,21,0,0,9
77,-99.0238,-0.0024,21,0,0,9
79,-99.0238,-0.0024,21,0,0,9
81,-99.0238,0.0012,21,0,0,9
83,-99.0238,0.0024,21,0,0,9
85,-99.0238,0.0024,21,0,0,9
87,-99.0238,-0.0024,21,0,0,9
89,-99.0238,-0.0048,21,0,0,9
91,-99.0238,0.0012,21,0,0,9
93,-99.0238,-0.0036,21,0,0,9
95,-99.0238,0,21,0,0,9
97,-99.0238,-0.0012,21,0,0,9
99,-99.0238,0,21,0,0,9
101,-99.0238,0.0024,22,0,0,9
103,-99.0238,-0.0012,21,0,0,9
105,-99.0238,0.0024,21,0,0,9
107,-99.0238,0.0012,21,0,0,9
109,-99.0238,0,21,0,0,9
111,-99.0238,0,21,0,0,9
113,-99.0238,-0.0036,21,0,0,9
115,-99.0238,-0.0024,21,0,0,9
117,-99.0238,0.0036,21,0,0,9
119,-99.0238,0,21,0,0,9
121,-99.0238,0,21,0,0,9
123,-99.0238,0,21,0,0,9
125,-99.0238,-0.0012,21,0,0,9
127,-99.0238,-0.0024,21,0,0,9
129,-99.0238,0.0012,21,0,0,9
131,-99.0238,0,21,0,0,9
133,-99.0238,0.0012,21,0,0,9
135,-99.0238,0.0012,21,0,0,9
137,-99.0238,0,21,0,0,9
139,-99.0238,0,21,0,0,9
141,-99.0238,-0.0012,21,0,0,9
143,-99.0238,-0.0024,21,0,0,9
145,-99.0238,0.0012,21,0,0,9
147,-99.0238,0.0048,21,0,0,9
149,-99.0238,-0.0036,21,0,0,9
151,-99.0238,0.0012,21,0,0,9
153,-99.0238,-0.0012,21,0,0,9
155,-99.0238,0.0036,21,0,0,9
157,-99.0238,-0.0012,21,0,0,9
159,-99.0238,0.0012,21,0,0,9
161,-99.0238,-0.0012,21,0,0,9
163,-99.0238,-0.0024,21,0,0,9
165,-99.0238,-0.0036,21,0,0,9
167,-99.0238,0.0036,21,0,0,9
169,-99.0238,-0.0012,21,0,0,9
171,-99.0238,0.0012,21,0,0,9
173,-99.0238,0,21,0,0,9
175,-99.0238,-0.0024,21,0,0,9
177,-99.0238,0,21,0,0,9
179,-99.0238,-0.0024,21,0,0,9
181,-99.0238,0.0012,21,0,0,9
183,-99.0238,0,21,0,0,9
185,-99.0238,0.0024,21,0,0,9
187,-99.0238,0.0024,21,0,0,9
189,-99.0238,0.0012,21,0,0,9
191,-99.0238,-0.0024,21,0,0,9
193,-99.0238,-0.0012,21,0,0,9
195,-99.0238,-0.0024,21,0,0,9
197,-99.0238,0.0012,21,0,0,9
199,-99.0238,0.0012,21,0,0,9
201,-99.0238,-0.0024,21,0,0,9
203,-99.0238,-0.0024,21,0,0,9
205,-99.0238,0.0024,21,0,0,9
207,-99.0238,0,21,0,0,9
209,-99.0238,-0.0024,21,0,0,9
