cnt,pos,speed,DTorque,STorque,Force
2568,118,0.0429,98,-26.1,44
2569,118,0.0429,98,-26.1,44
2570,118,0.037,98,-26.1,44
2571,118,0.0298,96,-26.1,43
2572,118,-0.0143,92,-26.1,41
2573,118,-0.093,87,-26.1,39
2574,118,-0.1442,83,-26.1,37
2575,118,-0.273,79,-26,35
2576,118.001,-0.3552,70,-26,31
2577,118.001,-0.577,65,-26,29
2578,118.002,-0.7152,54,-26,24
2579,118.004,-1.0228,43,-26,19
2580,118.006,-1.2409,37,-26,16
2581,118.007,-1.769,32,-26,14
2582,118.016,-3.2412,13,-26,5
2583,118.02,-3.6989,3,-26,1
2584,118.023,-4.1913,-2,-26,0
2585,118.032,-5.2129,-6,-26,-2
2586,118.037,-5.7636,-11,-26,-4
2587,118.049,-6.8543,-11,-25.8,-4
2588,118.056,-7.895,-11,-25.8,-4
2589,118.08,-8.8164,-8,-25.8,-3
2590,118.089,-9.2527,-3,-25.8,-1
2591,118.108,-9.6509,0,-25.8,0
2592,118.311,-11.048,75,-25.5,33
2593,118.343,-10.3172,77,-24,34
2594,118.546,-11.0265,36,-24,16
2595,118.58,-11.7048,28,-24,12
2596,118.604,-12.2818,20,-24,9
2597,118.629,-12.5738,13,-24,5
2598,118.642,-13.2175,10,-24,4
2599,118.655,-13.5763,6,-24,2
2600,118.682,-14.2665,6,-24,2
2601,118.697,-14.5777,7,-21.2,3
2602,118.726,-15.2071,9,-21.2,4
2603,118.741,-15.5003,13,-21.2,5
2604,118.772,-15.9628,15,-21.2,6
2605,118.788,-16.1965,22,-21.2,9
2606,118.821,-16.3324,25,-21.2,11
2607,118.837,-16.5696,32,-21.2,14
2608,118.871,-16.6244,36,-21.2,16
2609,118.887,-16.6733,43,-21.2,19
2610,118.921,-16.7031,47,-21.2,21
2611,118.937,-16.5779,51,-21.2,22
2612,118.987,-16.1917,67,-22,30
2613,119.019,-15.8102,71,-22,31
2614,119.035,-15.5873,79,-22,35
2615,119.066,-15.3441,82,-22,36
2616,119.081,-14.8685,85,-22,38
2617,119.096,-14.555,87,-22,39
2618,119.125,-14.0424,87,-22,39
2619,119.139,-13.8052,86,-22,38
2620,119.166,-13.5823,84,-22,37
2621,119.179,-13.1508,83,-22,37
2622,119.218,-12.8241,74,-22,33
2623,119.231,-12.687,71,-22,31
2624,119.256,-12.6096,66,-22,29
2625,119.269,-12.6811,63,-22,28
2626,119.282,-12.6704,57,-22,25
2627,119.307,-12.8611,54,-23,24
2628,119.333,-13.0721,49,-23,22
2629,119.346,-13.2414,42,-23,18
2630,119.373,-13.5978,39,-23,17
2631,119.386,-13.8076,32,-23,14
2632,119.414,-14.0007,29,-23,13
2633,119.428,-14.5431,25,-23,11
2634,119.458,-14.94,19,-23,8
2635,119.473,-15.5218,15,-23,6
2636,119.489,-15.8818,10,-23,4
2637,119.521,-16.6077,8,-23,3
2638,119.537,-16.9558,8,-23,3
2639,119.572,-17.6341,9,-23,4
2640,119.607,-17.9726,11,-21.4,4
2641,119.625,-18.4971,16,-21.4,7
2642,119.681,-19.0395,23,-21.4,10
2643,119.72,-19.1814,26,-21.4,11
2644,119.739,-19.4019,29,-21.4,13
2645,119.758,-19.4591,35,-21.4,15
2646,119.797,-19.4925,39,-21.4,17
2647,119.817,-19.4532,42,-21.4,18
2648,119.836,-19.3828,50,-21.4,22
2649,119.875,-19.2946,53,-21.4,23
2650,119.894,-19.08,61,-21.4,27
2651,119.932,-18.7606,69,-21.4,31
2652,120.023,-17.5006,83,-22.5,37
2653,120.058,-17.2014,84,-22.5,37
2654,120.075,-16.7651,82,-22.5,36
2655,120.109,-16.3777,82,-22.5,36
2656,120.125,-16.2608,79,-22.5,35
2657,120.381,-16.8199,43,-23.1,19
2658,120.415,-17.3134,37,-23.1,16
2659,120.468,-17.8737,32,-23.1,14
2660,120.486,-18.5091,27,-23.1,12
2661,120.524,-19.1897,20,-23.1,9
2662,120.562,-19.5747,17,-23.1,7
2663,120.582,-20.4104,14,-23.1,6
2664,120.624,-20.768,14,-23.1,6
2665,120.645,-21.5548,15,-23.1,6
2666,120.688,-21.9827,18,-21.6,8
2667,120.711,-22.6324,22,-21.6,9
2668,120.733,-22.9697,25,-21.6,11
2669,120.779,-23.5264,29,-21.6,13
2670,120.803,-23.7374,37,-21.6,16
2671,120.899,-24.2154,51,-21.6,22
2672,120.923,-24.455,55,-21.6,24
2673,120.972,-24.5242,65,-21.6,29
2674,120.997,-24.5075,71,-21.6,31
2675,121.021,-24.4383,78,-21.6,35
2676,121.07,-24.3811,80,-21.6,36
2677,121.094,-24.3239,81,-21.6,36
2678,121.143,-24.2834,82,-21.6,36
2679,121.167,-24.2714,82,-23.3,36
2680,121.24,-24.2774,81,-23.3,36
2681,121.265,-24.4717,79,-23.3,35
2682,121.314,-24.7602,77,-23.3,34
2683,121.363,-24.8746,76,-23.3,34
2684,121.388,-25.3383,75,-23.3,33
2685,121.439,-25.6471,72,-23.3,32
2686,121.465,-26.2717,72,-23.3,32
2687,121.518,-26.9762,73,-23.3,32
2688,121.545,-27.3434,73,-23.3,32
2689,121.6,-27.7165,73,-23.3,32
2690,121.657,-29.0289,74,-25.8,33
2691,121.686,-29.4474,74,-25.8,33
2692,121.776,-30.3962,73,-25.8,32
2693,121.807,-31.4655,73,-25.8,32
2694,121.87,-32.3929,75,-25.8,33
2695,121.903,-32.9735,74,-25.8,33
2696,121.969,-33.4705,73,-25.8,32
2697,122.003,-34.5112,74,-25.8,33
2698,122.073,-35.0417,71,-25.8,31
2699,122.108,-36.2361,69,-25.8,31
2700,122.182,-37.3841,68,-25.8,30
2701,122.257,-38.0004,66,-25.8,29
2702,122.415,-40.4822,60,-27.7,27
2703,122.456,-41.7494,58,-27.7,26
2704,122.54,-42.5159,56,-27.7,25
2705,122.584,-43.901,52,-27.7,23
2706,122.672,-44.6282,51,-27.7,22
2707,122.764,-46.0896,47,-27.7,21
2708,122.956,-49.9471,41,-27.7,18
2709,123.057,-50.809,38,-27.7,17
2710,123.108,-52.4612,33,-27.7,14
2711,123.214,-54.2505,32,-35.1,14
2712,123.323,-55.1254,32,-35.1,14
2713,123.379,-56.8789,29,-35.1,13
2714,123.494,-57.8636,28,-35.1,12
2715,123.553,-59.8186,30,-35.1,13
2716,123.674,-60.7615,33,-35.1,14
2717,123.735,-62.5293,36,-35.1,16
2718,123.861,-64.2327,50,-35.1,22
2719,123.991,-65.786,57,-35.1,25
2720,124.123,-66.4678,68,-35.1,30
2721,124.19,-67.7219,75,-35.1,33
2722,124.326,-68.7614,90,-35.1,40
2723,124.464,-69.2918,99,-35.1,44
2724,124.534,-70.1966,108,-44.6,48
2725,124.674,-70.9226,111,-44.6,49
2726,124.817,-71.3588,112,-44.6,50
2727,124.888,-72.0955,114,-44.6,51
2728,125.033,-72.8966,114,-44.6,51
2729,125.179,-73.3389,114,-44.6,51
2730,125.253,-74.2913,116,-44.6,52
2731,125.402,-74.6632,115,-44.6,51
2732,125.706,-76.7469,115,-44.6,51
2733,125.783,-77.7864,113,-44.6,50
2734,125.939,-78.2859,113,-44.6,50
2735,126.018,-79.3456,111,-49,49
2736,126.177,-80.4542,111,-49,49
