cnt,pos,speed,DTorque,STorque,Force,,,,
1828,11.9532,-0.0122,9,0,4,1.5625,-6.25,0,1
1829,11.9532,-0.003,9,0,4,1.5625,-6.640625,1,1
1830,11.9532,-0.0061,9,0,4,1.5625,-7.03125,2,1
1831,11.9532,0.0061,9,0,4,1.5625,-7.03125,3,1
1832,11.9533,-0.0091,9,0,4,1.5625,-7.03125,4,1
1833,11.9533,0.003,9,0,4,1.5625,-7.03125,5,2
1834,11.9533,-0.003,9,0,4,1.5625,-7.421875,6,2
1835,11.9533,-0.003,9,0,4,1.5625,-7.421875,7,2
1836,11.9533,-0.003,9,0,4,1.5625,-7.421875,8,2
1837,11.9533,-0.003,9,0,4,1.5625,-7.8125,9,2
1838,11.9533,-0.0061,9,0,4,1.5625,-7.8125,10,3
1839,11.9533,-0.0061,9,0,4,1.5625,-7.8125,11,3
1840,11.9533,0,9,0,4,1.5625,-7.8125,12,3
1841,11.9533,0,9,0,4,1.5625,-7.8125,13,3
1842,11.9533,0,9,0,4,1.5625,-7.8125,14,3
1843,11.9533,0,9,0,4,1.5625,-7.8125,15,4
1844,11.9533,-0.003,9,0,4,1.5625,-7.8125,16,4
1845,11.9533,-0.0061,9,0,4,1.5625,-7.8125,17,4
1846,11.9533,-0.0061,9,0,4,1.5625,-7.8125,18,4
1847,11.9533,-0.0152,9,0,4,1.5625,-7.421875,19,4
1848,11.9533,-0.003,9,0,4,1.5625,-7.421875,20,5
1849,11.9533,0.003,9,0,4,1.5625,-7.421875,21,5
1850,11.9533,0.003,9,0,4,1.5625,-7.421875,22,5
1851,11.9533,-0.0061,9,0,4,1.5625,-7.421875,23,5
1852,11.9533,0,9,0,4,1.5625,-7.421875,24,5
1853,11.9533,-0.003,9,0,4,1.5625,-7.421875,25,6
1854,11.9533,-0.0061,9,0,4,1.5625,-7.421875,26,6
1855,11.9533,0.003,9,0,4,1.5625,-7.421875,27,6
1856,11.9533,0.003,9,0,4,1.5625,-7.421875,28,6
1857,11.9534,0,9,0,4,1.5625,-7.421875,29,6
1858,11.9534,-0.003,8,0,3,1.171875,-7.421875,30,7
1859,11.9534,0,9,0,4,1.5625,-7.421875,31,7
1860,11.9534,-0.003,9,0,4,1.5625,-7.421875,32,7
1861,11.9534,-0.003,9,0,4,1.5625,-7.421875,33,7
1862,11.9534,0.003,9,0,4,1.5625,-7.421875,34,7
1863,11.9534,-0.0061,9,0,4,1.5625,-7.421875,35,8
1864,11.9534,-0.003,9,0,4,1.5625,-7.421875,36,8
1865,11.9534,0,9,0,4,1.5625,-7.421875,37,8
1866,11.9534,0,9,0,4,1.5625,-7.421875,38,8
1867,11.9534,-0.003,9,0,4,1.5625,-7.421875,39,8
1868,11.9534,0,9,0,4,1.5625,-7.421875,40,9
1869,11.9534,-0.0091,9,0,4,1.5625,-7.421875,41,9
1870,11.9534,0,9,0,4,1.5625,-7.8125,42,9
1871,11.9534,-0.003,9,0,4,1.5625,-7.8125,43,9
1872,11.9534,-0.0091,9,0,4,1.5625,-7.8125,44,9
1873,11.9534,0.0091,9,0,4,1.5625,-7.8125,45,10
1874,11.9534,-0.003,9,0,4,1.5625,-7.8125,46,10
1875,11.9534,0.003,9,0,4,1.5625,-7.8125,47,10
1876,11.9534,0,8,0,3,1.171875,-8.203125,48,10
1877,11.9534,-0.0061,9,0,4,1.5625,-8.203125,49,10
1878,11.9534,-0.003,9,0,4,1.5625,-8.203125,50,11
1879,11.9534,0.003,8,0,3,1.171875,-8.203125,51,11
1880,11.9534,-0.0122,8,0,3,1.171875,-8.203125,52,11
1881,11.9534,-0.003,9,0,4,1.5625,-8.59375,53,11
1882,11.9534,0.003,8,0,3,1.171875,-8.59375,54,11
1883,11.9534,-0.003,8,0,3,1.171875,-8.59375,55,12
1884,11.9535,0.0061,9,0,4,1.5625,-8.59375,56,12
1885,11.9534,0.0061,9,0,4,1.5625,-8.59375,57,12
1886,11.9535,-0.0091,9,0,4,1.5625,-8.59375,58,12
1887,11.9535,0.003,8,0,3,1.171875,-8.59375,59,12
1888,11.9535,0.003,8,0,3,1.171875,-8.59375,60,13
1889,11.9535,-0.003,8,0,3,1.171875,-8.59375,61,13
1890,11.9534,0.003,9,0,4,1.5625,-8.59375,62,13
1891,11.9535,-0.0061,8,0,3,1.171875,-8.59375,63,13
1892,11.9535,-0.003,9,0,4,1.5625,-8.59375,64,13
1893,11.9535,0.003,8,0,3,1.171875,-8.59375,65,14
1894,11.9535,-0.003,8,0,3,1.171875,-8.59375,66,14
1895,11.9535,0.003,9,0,4,1.5625,-8.203125,67,14
1896,11.9535,0,9,0,4,1.5625,-8.203125,68,14
1897,11.9535,-0.0061,9,0,4,1.5625,-8.203125,69,14
1898,11.9535,0.003,9,0,4,1.5625,-8.203125,70,15
1899,11.9534,0,9,0,4,1.5625,-7.8125,71,15
1900,11.9535,-0.003,9,0,4,1.5625,-8.203125,72,15
1901,11.9535,0,9,0,4,1.5625,-7.8125,73,15
1902,11.9535,0.0061,8,0,3,1.171875,-7.8125,74,15
1903,11.9535,-0.003,8,0,3,1.171875,-7.8125,75,16
1904,11.9535,-0.0152,8,0,3,1.171875,-7.8125,76,16
1905,11.9535,0.003,8,0,3,1.171875,-7.8125,77,16
1906,11.9535,0.003,8,0,3,1.171875,-7.8125,78,16
1907,11.9535,-0.003,8,0,3,1.171875,-7.8125,79,16
1908,11.9535,0,8,0,3,1.171875,-7.8125,80,17
1909,11.9535,-0.003,8,0,3,1.171875,-7.8125,81,17
1910,11.9535,0.003,8,0,3,1.171875,-7.421875,82,17
1911,11.9535,0,8,0,3,1.171875,-7.421875,83,17
1912,11.9535,-0.003,8,0,3,1.171875,-7.8125,84,17
1913,11.9535,0,8,0,3,1.171875,-7.8125,85,18
1914,11.9535,0.003,8,0,3,1.171875,-7.8125,86,18
1915,11.9535,0,8,0,3,1.171875,-7.8125,87,18
1916,11.9535,0,8,0,3,1.171875,-7.8125,88,18
1917,11.9535,0.003,8,0,3,1.171875,-7.8125,89,18
1918,11.9535,0.003,8,0,3,1.171875,-8.203125,90,19
1919,11.9535,-0.003,8,0,3,1.171875,-7.8125,91,19
1920,11.9535,-0.0061,8,0,3,1.171875,-7.8125,92,19
1921,11.9535,-0.0061,8,0,3,1.171875,-7.8125,93,19
1922,11.9535,0,8,0,3,1.171875,-7.421875,94,19
1923,11.9535,0.0061,8,0,3,1.171875,-7.8125,95,20
1924,11.9535,-0.0091,8,0,3,1.171875,-7.421875,96,20
1925,11.9535,-0.0091,8,0,3,1.171875,-7.421875,97,20
1926,11.9535,0,8,0,3,1.171875,-7.421875,98,20
1927,11.9535,0.0061,8,0,3,1.171875,-7.03125,99,20
1928,11.9535,-0.003,8,0,3,1.171875,-7.03125,100,21
1929,11.9535,-0.003,8,0,3,1.171875,-7.03125,101,21
1930,11.9535,0,8,0,3,1.171875,-7.03125,102,21
1931,11.9535,0,8,0,3,1.171875,-7.03125,103,21
1932,11.9535,0.003,8,0,3,1.171875,-7.03125,104,21
