cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
1,106.126,-0,0,0,-1,0,0,0,0,0,0,0
2,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
3,106.126,-0,0,0,0,0,0,0,0,0,0,0
4,106.126,-0,0,0,0,0,0,0,0,0,0,0
5,106.126,-0,0,0,0,0,0,0,0,0,0,0
6,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
7,106.126,-0,0,0,0,0,0,0,0,0,0,0
8,106.126,-0,0,0,0,0,0,0,0,0,0,0
9,106.126,-0,0,0,0,0,0,0,0,0,0,0
10,106.124,-0,2.1572,0,-1,0,0,0,0,0,0,0
11,106.124,-0,0,0,0,0,0,0,0,0,0,0
12,106.124,-0,2.1572,0,0,0,0,0,0,0,0,0
13,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
14,106.126,-0,0,0,0,0,0,0,0,0,0,0
15,106.126,-0,0,0,-1,0,0,0,0,0,0,0
16,106.128,-0,0,0,0,0,0,0,0,0,0,0
17,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
18,106.128,-0,0,0,-1,0,0,0,0,0,0,0
19,106.126,-0,0,0,0,0,0,0,0,0,0,0
20,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
21,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
22,106.126,-0,0,0,0,0,0,0,0,0,0,0
23,106.126,-0,0,0,-1,0,0,0,0,0,0,0
24,106.124,-0,-2.1572,0,0,0,0,0,0,0,0,0
25,106.126,-0,0,0,0,0,0,0,0,0,0,0
26,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
27,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
28,106.126,-0,0,0,0,0,0,0,0,0,0,0
29,106.124,-0,2.1572,0,0,0,0,0,0,0,0,0
30,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
31,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
32,106.126,-0,0,0,0,0,0,0,0,0,0,0
33,106.128,-0,-2.1572,0,-1,0,0,0,0,0,0,0
34,106.128,-0,-2.1572,0,1,0,0,0,0,0,0,0
35,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
36,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
37,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
38,106.128,-0,-2.1572,0,-1,0,0,0,0,0,0,0
39,106.128,-0,0,0,0,0,0,0,0,0,0,0
40,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
41,106.126,-0,0,0,0,0,0,0,0,0,0,0
42,106.126,-0,0,0,-1,0,0,0,0,0,0,0
43,106.126,-0,0,0,-1,0,0,0,0,0,0,0
44,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
45,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
46,106.128,-0,0,0,0,0,0,0,0,0,0,0
47,106.128,-0,0,0,0,0,0,0,0,0,0,0
48,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
49,106.128,-0,0,0,0,0,0,0,0,0,0,0
50,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
51,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
52,106.128,-0,0,0,0,0,0,0,0,0,0,0
53,106.128,-0,0,0,0,0,0,0,0,0,0,0
54,106.128,-0,0,0,0,0,0,0,0,0,0,0
55,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
56,106.128,-0,0,0,0,0,0,0,0,0,0,0
57,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
58,106.128,-0,0,0,-1,0,0,0,0,0,0,0
59,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
60,106.126,-0,0,0,0,0,0,0,0,0,0,0
61,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
62,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
