cnt,pos,speed,DTorque,STorque,Force
4213,132.31,-0.96,72.00,0,12.67,0
4214,132.31,-0.96,72.00,0,12.67,0
4215,132.31,-0.98,72.00,0,12.67,0
4216,132.32,-0.99,72.00,0,12.67,0
4217,132.32,-1.00,72.00,0,12.67,0
4218,132.32,-0.98,72.00,0,12.67,0
4219,132.32,-0.96,73.00,0,12.85,0
4220,132.32,-0.97,73.00,0,12.85,0
4221,132.32,-1.00,73.00,0,13.02,0
4222,132.32,-1.00,74.00,0,13.02,0
4223,132.32,-0.99,74.00,0,13.02,0
4224,132.32,-0.98,74.00,0,13.02,0
4225,132.33,-0.95,74.00,0,13.02,0
4226,132.33,-0.93,75.00,0,13.20,0
4227,132.33,-0.92,75.00,0,13.20,0
4228,132.33,-0.92,75.00,0,13.20,0
4229,132.33,-0.94,75.00,0,13.20,0
4230,132.33,-0.93,75.00,0,13.20,0
4231,132.33,-0.94,75.00,0,13.20,0
4232,132.33,-0.93,76.00,0,13.38,0
4233,132.33,-0.91,76.00,0,13.38,0
4234,132.34,-0.89,76.00,0,13.38,0
4235,132.34,-0.86,76.00,0,13.38,0
4236,132.34,-0.86,76.00,0,13.38,0
4237,132.34,-0.85,76.00,0,13.55,0
4238,132.34,-0.86,77.00,0,13.55,0
4239,132.34,-0.89,77.00,0,13.55,0
4240,132.34,-0.93,77.00,0,13.55,0
4241,132.34,-0.95,77.00,0,13.55,0
4242,132.34,-0.97,78.00,0,13.73,0
4243,132.34,-0.96,78.00,0,13.73,0
4244,132.34,-0.98,78.00,0,13.73,0
4245,132.35,-1.05,79.00,0,13.90,0
4246,132.35,-1.06,79.00,0,13.90,0
4247,132.35,-1.09,80.00,0,14.08,0
4248,132.35,-1.09,80.00,0,14.08,0
4249,132.35,-1.09,81.00,0,14.26,0
4250,132.35,-1.08,81.00,0,14.26,0
4251,132.35,-1.10,81.00,0,14.26,0
4252,132.35,-1.12,82.00,0,14.43,0
4253,132.36,-1.14,82.00,0,14.43,0
4254,132.36,-1.13,82.00,0,14.43,0
4255,132.36,-1.15,83.00,0,14.61,0
4256,132.36,-1.14,83.00,0,14.61,0
4257,132.36,-1.10,84.00,0,14.78,0
4258,132.36,-1.08,84.00,0,14.78,0
4259,132.36,-1.09,84.00,0,14.78,0
4260,132.36,-1.13,84.00,0,14.78,0
4261,132.37,-1.14,84.00,0,14.78,0
4262,132.37,-1.17,85.00,0,14.96,0
4263,132.37,-1.12,85.00,0,14.96,0
4264,132.37,-1.16,85.00,0,15.14,0
4265,132.37,-1.25,86.00,0,15.14,0
4266,132.37,-1.25,87.00,0,15.31,0
4267,132.37,-1.30,87.00,0,15.31,0
4268,132.38,-1.29,87.00,0,15.31,0
4269,132.38,-1.27,88.00,0,15.49,0
4270,132.38,-1.28,88.00,0,15.49,0
4271,132.38,-1.32,88.00,0,15.49,0
4272,132.38,-1.36,89.00,0,15.66,0
4273,132.38,-1.38,89.00,0,15.66,0
4274,132.38,-1.37,90.00,0,15.84,0
4275,132.38,-1.35,90.00,0,15.84,0
4276,132.39,-1.33,90.00,0,15.84,0
4277,132.39,-1.34,91.00,0,16.02,0
4278,132.39,-1.38,91.00,0,16.02,0
4279,132.39,-1.40,91.00,0,16.02,0
4280,132.39,-1.35,92.00,0,16.19,0
4281,132.39,-1.37,92.00,0,16.19,0
4282,132.40,-1.42,92.00,0,16.19,0
4283,132.40,-1.43,93.00,0,16.37,0
4284,132.40,-1.43,93.00,0,16.37,0
4285,132.40,-1.40,94.00,0,16.54,0
4286,132.40,-1.38,94.00,0,16.54,0
4287,132.40,-1.38,94.00,0,16.54,0
4288,132.41,-1.39,94.00,0,16.54,0
4289,132.41,-1.38,95.00,0,16.72,0
4290,132.41,-1.37,95.00,0,16.72,0
4291,132.41,-1.36,95.00,0,16.72,0
4292,132.41,-1.32,95.00,0,16.72,0
4293,132.41,-1.29,96.00,0,16.90,0
4294,132.41,-1.28,96.00,0,16.90,0
4295,132.42,-1.31,96.00,0,16.90,0
4296,132.42,-1.31,97.00,0,17.07,0
4297,132.42,-1.28,97.00,0,17.07,0
4298,132.42,-1.31,97.00,0,17.07,0
4299,132.42,-1.34,97.00,0,17.07,0
4300,132.42,-1.33,98.00,0,17.25,0
4301,132.42,-1.36,98.00,0,17.25,0
4302,132.43,-1.34,99.00,0,17.42,0
4303,132.43,-1.30,99.00,0,17.42,0
4304,132.43,-1.31,99.00,0,17.42,0
4305,132.43,-1.34,100.00,0,17.60,0
4306,132.43,-1.35,100.00,0,17.60,0
4307,132.43,-1.32,101.00,0,17.78,0
4308,132.44,-1.29,101.00,0,17.78,0
4309,132.44,-1.24,101.00,0,17.78,0
4310,132.44,-1.28,101.00,0,17.78,0
4311,132.44,-1.29,102.00,0,17.95,0
4312,132.44,-1.29,102.00,0,17.95,0
4313,132.44,-1.28,102.00,0,17.95,0
4314,132.45,-1.32,103.00,0,18.13,0
4315,132.45,-1.35,103.00,0,18.13,0
4316,132.45,-1.39,104.00,0,18.30,0
4317,132.45,-1.38,104.00,0,18.30,0
4318,132.45,-1.35,105.00,0,18.48,0
4319,132.45,-1.36,105.00,0,18.48,0
4320,132.46,-1.39,105.00,0,18.48,0
4321,132.46,-1.40,106.00,0,18.66,0
4322,132.46,-1.37,106.00,0,18.66,0
4323,132.46,-1.35,107.00,0,18.83,0
4324,132.46,-1.32,107.00,0,18.83,0
4325,132.46,-1.33,107.00,0,18.83,0
4326,132.47,-1.34,108.00,0,19.01,0
4327,132.47,-1.32,108.00,0,19.01,0
4328,132.47,-1.34,109.00,0,19.18,0
4329,132.47,-1.38,109.00,0,19.18,0
4330,132.47,-1.38,110.00,0,19.36,0
4331,132.47,-1.37,110.00,0,19.36,0
4332,132.48,-1.33,110.00,0,19.36,0
4333,132.48,-1.30,111.00,0,19.54,0
4334,132.48,-1.28,111.00,0,19.54,0
4335,132.48,-1.27,111.00,0,19.54,0
4336,132.48,-1.26,111.00,0,19.54,0
4337,132.48,-1.24,112.00,0,19.71,0
4338,132.49,-1.21,112.00,0,19.71,0
4339,132.49,-1.15,112.00,0,19.71,0
4340,132.49,-1.13,112.00,0,19.71,0
4341,132.49,-1.13,112.00,0,19.71,0
4342,132.49,-1.13,113.00,0,19.89,0
4343,132.49,-1.13,113.00,0,19.89,0
4344,132.49,-1.10,113.00,0,19.89,0
4345,132.49,-1.11,113.00,0,19.89,0
4346,132.50,-1.12,113.00,0,19.89,0
4347,132.50,-1.10,114.00,0,20.06,0
4348,132.50,-1.08,114.00,0,20.06,0
4349,132.50,-1.08,114.00,0,20.06,0
4350,132.50,-1.05,114.00,0,20.06,0
4351,132.50,-1.02,114.00,0,20.06,0
4352,132.50,-1.00,115.00,0,20.24,0
4353,132.50,-0.98,115.00,0,20.24,0
4354,132.50,-0.97,115.00,0,20.24,0
4355,132.50,-0.96,115.00,0,20.24,0
4356,132.51,-0.95,115.00,0,20.24,0
4357,132.51,-0.95,116.00,0,20.42,0
4358,132.51,-0.96,116.00,0,20.42,0
4359,132.51,-0.95,116.00,0,20.42,0
4360,132.51,-0.95,116.00,0,20.59,0
4361,132.51,-0.94,117.00,0,20.59,0
4362,132.51,-0.93,117.00,0,20.59,0
4363,132.51,-0.95,117.00,0,20.59,0
4364,132.52,-0.96,118.00,0,20.77,0
4365,132.52,-0.98,118.00,0,20.77,0
4366,132.52,-1.00,119.00,0,20.94,0
4367,132.52,-1.03,119.00,0,20.94,0
4368,132.52,-1.05,119.00,0,20.94,0
4369,132.52,-1.05,120.00,0,21.12,0
4370,132.52,-1.06,120.00,0,21.30,0
4371,132.52,-1.07,121.00,0,21.30,0
4372,132.53,-1.07,121.00,0,21.30,0
4373,132.53,-1.07,121.00,0,21.30,0
4374,132.53,-1.07,122.00,0,21.47,0
4375,132.53,-1.10,123.00,0,21.65,0
4376,132.53,-1.13,123.00,0,21.65,0
4377,132.53,-1.16,123.00,0,21.65,0
4378,132.53,-1.17,124.00,0,21.82,0
4379,132.54,-1.20,125.00,0,22.00,0
4380,132.54,-1.19,125.00,0,22.00,0
4381,132.54,-1.20,125.00,0,22.00,0
4382,132.54,-1.24,126.00,0,22.18,0
4383,132.54,-1.30,127.00,0,22.35,0
4384,132.54,-1.33,127.00,0,22.35,0
4385,132.54,-1.38,128.00,0,22.53,0
4386,132.55,-1.44,128.00,0,22.53,0
4387,132.55,-1.51,129.00,0,22.70,0
4388,132.55,-1.53,130.00,0,22.88,0
4389,132.55,-1.56,131.00,0,23.06,0
4390,132.55,-1.61,131.00,0,23.06,0
4391,132.56,-1.66,132.00,0,23.23,0
4392,132.56,-1.77,134.00,0,23.58,0
4393,132.56,-1.80,134.00,0,23.58,0
4394,132.56,-1.79,135.00,0,23.76,0
4395,132.56,-1.84,135.00,0,23.76,0
4396,132.57,-1.93,137.00,0,24.11,0
4397,132.57,-2.01,137.00,0,24.11,0
4398,132.57,-2.10,138.00,0,24.29,0
4399,132.57,-2.13,139.00,0,24.46,0
4400,132.58,-2.13,140.00,0,24.64,0
4401,132.58,-2.17,141.00,0,24.82,0
4402,132.58,-2.29,142.00,0,24.99,0
4403,132.59,-2.29,143.00,0,25.17,0
4404,132.59,-2.24,143.00,0,25.17,0
4405,132.59,-2.28,145.00,0,25.52,0
4406,132.59,-2.32,145.00,0,25.52,0
4407,132.60,-2.39,146.00,0,25.70,0
4408,132.60,-2.39,147.00,0,25.87,0
4409,132.60,-2.39,148.00,0,26.05,0
4410,132.61,-2.44,149.00,0,26.22,0
4411,132.61,-2.44,149.00,0,26.22,0
4412,132.61,-2.39,150.00,0,26.40,0
4413,132.61,-2.41,151.00,0,26.58,0
4414,132.62,-2.36,151.00,0,26.58,0
4415,132.62,-2.45,152.00,0,26.75,0
4416,132.62,-2.48,152.00,0,26.75,0
4417,132.63,-2.45,153.00,0,26.93,0
4418,132.63,-2.46,154.00,0,27.10,0
4419,132.63,-2.46,154.00,0,27.10,0
4420,132.64,-2.42,155.00,0,27.28,0
4421,132.64,-2.32,155.00,0,27.28,0
4422,132.64,-2.39,156.00,0,27.46,0
4423,132.65,-2.39,157.00,0,27.63,0
4424,132.65,-2.45,157.00,0,27.63,0
4425,132.65,-2.46,158.00,0,27.81,0
4426,132.65,-2.46,159.00,0,27.98,0
4427,132.66,-2.49,159.00,0,27.98,0
4428,132.66,-2.50,160.00,0,28.16,0
4429,132.66,-2.40,160.00,0,28.16,0
4430,132.66,-2.46,161.00,0,28.34,0
4431,132.67,-2.47,162.00,0,28.51,0
4432,132.67,-2.57,162.00,0,28.51,0
4433,132.67,-2.58,163.00,0,28.69,0
4434,132.68,-2.56,164.00,0,28.86,0
4435,132.68,-2.61,164.00,0,29.04,0
4436,132.69,-2.64,166.00,0,29.22,0
4437,132.69,-2.56,166.00,0,29.22,0
4438,132.69,-2.66,167.00,0,29.39,0
4439,132.69,-2.63,168.00,0,29.57,0
4440,132.70,-2.81,169.00,0,29.74,0
4441,132.70,-2.79,170.00,0,29.92,0
4442,132.70,-2.81,170.00,0,29.92,0
4443,132.71,-2.89,172.00,0,30.27,0
4444,132.71,-2.76,173.00,0,30.45,0
4445,132.72,-2.88,173.00,0,30.45,0
4446,132.72,-2.83,174.00,0,30.62,0
4447,132.72,-2.99,175.00,0,30.80,0
4448,132.72,-3.03,176.00,0,30.98,0
4449,132.73,-3.03,177.00,0,31.15,0
4450,132.73,-3.18,178.00,0,31.33,0
4451,132.74,-3.08,179.00,0,31.50,0
4452,132.74,-3.15,180.00,0,31.68,0
4453,132.74,-3.33,181.00,0,31.86,0
4454,132.75,-3.43,182.00,0,32.03,0
4455,132.75,-3.38,183.00,0,32.21,0
4456,132.76,-3.53,185.00,0,32.56,0
4457,132.76,-3.50,186.00,0,32.74,0
4458,132.77,-3.53,187.00,0,32.91,0
4459,132.77,-3.66,188.00,0,33.09,0
4460,132.77,-3.78,189.00,0,33.26,0
4461,132.78,-3.79,192.00,0,33.79,0
4462,132.79,-3.93,193.00,0,33.97,0
4463,132.79,-3.98,194.00,0,34.14,0
4464,132.79,-4.10,195.00,0,34.32,0
4465,132.80,-4.29,196.00,0,34.50,0
4466,132.80,-4.27,199.00,0,35.02,0
4467,132.81,-4.42,200.00,0,35.20,0
4468,132.82,-4.45,202.00,0,35.55,0
4469,132.82,-4.57,203.00,0,35.73,0
4470,132.83,-4.66,204.00,0,35.90,0
4471,132.83,-4.83,207.00,0,36.43,0
4472,132.84,-4.75,208.00,0,36.61,0
4473,132.84,-4.89,209.00,0,36.78,0
4474,132.85,-5.02,211.00,0,37.14,0
4475,132.85,-4.99,212.00,0,37.31,0
4476,132.86,-5.09,215.00,0,37.84,0
4477,132.87,-5.05,215.00,0,37.84,0
4478,132.88,-5.12,217.00,0,38.19,0
4479,132.88,-5.11,218.00,0,38.37,0
4480,132.89,-5.15,220.00,0,38.72,0
4481,132.90,-5.09,221.00,0,38.90,0
4482,132.90,-5.15,222.00,0,39.07,0
4483,132.91,-5.15,223.00,0,39.25,0
4484,132.91,-5.08,225.00,0,39.60,0
4485,132.92,-5.04,225.00,0,39.60,0
4486,132.93,-5.08,226.00,0,39.78,0
4487,132.93,-5.05,227.00,0,39.95,0
4488,132.94,-5.01,229.00,0,40.30,0
4489,132.95,-5.00,230.00,0,40.48,0
4490,132.95,-5.01,230.00,0,40.48,0
4491,132.96,-4.99,231.00,0,40.66,0
4492,132.96,-4.98,232.00,0,40.83,0
4493,132.97,-4.88,234.00,0,41.18,0
4494,132.97,-4.96,235.00,0,41.36,0
4495,132.98,-4.99,235.00,0,41.36,0
4496,132.99,-5.00,236.00,0,41.54,0
4497,132.99,-4.92,237.00,0,41.71,0
4498,133.00,-5.05,239.00,0,42.06,0
4499,133.01,-5.08,240.00,0,42.24,0
4500,133.01,-4.99,241.00,0,42.42,0
4501,133.02,-4.88,241.00,0,42.42,0
4502,133.03,-4.95,243.00,0,42.77,0
4503,133.03,-4.91,244.00,0,42.94,0
4504,133.04,-4.82,245.00,0,43.12,0
4505,133.04,-4.68,245.00,0,43.12,0
4506,133.04,-4.65,246.00,0,43.30,0
4507,133.05,-4.71,246.00,0,43.30,0
4508,133.06,-4.61,247.00,0,43.47,0
4509,133.06,-4.40,248.00,0,43.65,0
4510,133.07,-4.38,248.00,0,43.65,0
4511,133.07,-4.49,249.00,0,43.82,0
4512,133.08,-4.42,250.00,0,44.00,0
4513,133.08,-4.42,251.00,0,44.18,0
4514,133.09,-4.32,251.00,0,44.18,0
4515,133.09,-4.37,252.00,0,44.53,0
4516,133.10,-4.45,254.00,0,44.70,0
4517,133.11,-4.57,255.00,0,44.88,0
4518,133.11,-4.45,256.00,0,45.06,0
4519,133.12,-4.48,257.00,0,45.23,0
4520,133.12,-4.64,258.00,0,45.41,0
4521,133.13,-4.72,260.00,0,45.76,0
4522,133.13,-4.72,261.00,0,45.94,0
4523,133.14,-4.66,262.00,0,46.11,0
4524,133.14,-4.75,263.00,0,46.29,0
4525,133.15,-4.94,264.00,0,46.64,0
4526,133.16,-5.04,267.00,0,46.99,0
4527,133.16,-4.94,268.00,0,47.17,0
4528,133.17,-5.02,269.00,0,47.34,0
4529,133.17,-5.23,271.00,0,47.70,0
4530,133.18,-5.35,273.00,0,48.05,0
4531,133.19,-5.31,275.00,0,48.40,0
4532,133.20,-5.49,276.00,0,48.58,0
4533,133.20,-5.57,278.00,0,48.93,0
4534,133.21,-5.69,281.00,0,49.46,0
4535,133.22,-5.81,283.00,0,49.81,0
4536,133.22,-5.98,284.00,0,49.98,0
4537,133.23,-6.08,286.00,0,50.34,0
4538,133.24,-6.14,288.00,0,50.69,0
4539,133.24,-6.24,290.00,0,51.22,0
4540,133.26,-6.55,293.00,0,51.57,0
4541,133.26,-6.58,295.00,0,51.92,0
