cnt,pos,speed,DTorque,STorque,Force,Dir
13460,22.47,-12.62,305.00,0,53.68,0
13461,22.48,-12.60,306.00,0,53.86,0
13462,22.49,-12.13,306.00,0,53.86,0
13463,22.50,-12.10,307.00,0,54.03,0
13464,22.51,-11.51,308.00,0,54.21,0
13465,22.53,-11.41,308.00,0,54.21,0
13466,22.54,-10.98,308.00,0,54.21,0
13467,22.55,-10.81,309.00,0,54.38,0
13468,22.56,-10.52,309.00,0,54.38,0
13469,22.57,-10.22,309.00,0,54.38,0
13470,22.58,-10.09,309.00,0,54.38,0
13471,22.59,-9.71,309.00,0,54.38,0
13472,22.60,-9.82,309.00,0,54.38,0
13473,22.61,-9.66,310.00,0,54.56,0
13474,22.62,-9.52,310.00,0,54.56,0
13475,22.63,-9.62,310.00,0,54.56,0
13476,22.64,-9.46,311.00,0,54.74,0
13477,22.65,-9.63,312.00,0,54.91,0
13478,22.66,-9.73,312.00,0,54.91,0
13479,22.67,-9.61,313.00,0,55.09,0
13480,22.68,-9.80,314.00,0,55.26,0
13481,22.69,-9.89,315.00,0,55.44,0
13482,22.70,-10.03,316.00,0,55.62,0
13483,22.71,-10.20,317.00,0,55.79,0
13484,22.72,-10.14,318.00,0,55.97,0
13485,22.73,-10.40,319.00,0,56.14,0
13486,22.74,-10.43,321.00,0,56.50,0
13487,22.75,-10.60,322.00,0,56.67,0
13488,22.76,-10.67,323.00,0,56.85,0
13489,22.77,-10.73,324.00,0,57.02,0
13490,22.78,-10.85,325.00,0,57.20,0
13491,22.79,-10.68,327.00,0,57.55,0
13492,22.80,-10.94,328.00,0,57.73,0
13493,22.81,-10.70,330.00,0,58.08,0
13494,22.82,-10.56,331.00,0,58.26,0
13495,22.84,-10.37,332.00,0,58.43,0
13496,22.85,-10.25,332.00,0,58.43,-1
13497,22.86,-9.65,333.00,0,58.61,-1
13498,22.87,-9.62,333.00,0,58.61,-1
13499,22.88,-9.17,333.00,0,58.61,-1
13500,22.89,-8.74,334.00,0,58.78,-1
13501,22.90,-8.39,333.00,0,58.61,-1
13502,22.91,-7.47,333.00,0,58.61,-1
13503,22.92,-7.08,333.00,0,58.61,-1
13504,22.93,-6.71,333.00,0,58.61,-1
13505,22.93,-6.13,332.00,0,58.43,-1
13506,22.94,-5.79,332.00,0,58.43,-1
13507,22.95,-5.49,331.00,0,58.26,-1
13508,22.95,-5.17,331.00,0,58.26,-1
13509,22.96,-4.79,330.00,0,58.08,-1
13510,22.96,-4.42,330.00,0,58.08,-1
13511,22.96,-4.18,329.00,0,57.90,-1
13512,22.97,-4.11,328.00,0,57.73,-1
13513,22.97,-3.86,328.00,0,57.73,-1
13514,22.98,-3.77,328.00,0,57.73,-1
13515,22.98,-3.63,327.00,0,57.55,-1
13516,22.98,-3.42,327.00,0,57.55,-1
13517,22.99,-3.43,327.00,0,57.55,-1
13518,22.99,-3.48,327.00,0,57.55,-1
13519,23.00,-3.52,328.00,0,57.73,-1
13520,23.00,-3.65,328.00,0,57.73,-1
13521,23.00,-3.69,328.00,0,57.73,-1
13522,23.01,-3.63,328.00,0,57.73,-1
13523,23.01,-3.78,329.00,0,57.90,-1
13524,23.02,-4.00,329.00,0,57.90,-1
13525,23.02,-4.30,330.00,0,58.08,-1
13526,23.03,-4.54,331.00,0,58.26,-1
13527,23.03,-4.52,332.00,0,58.43,-1
13528,23.04,-4.78,332.00,0,58.43,-1
13529,23.04,-5.17,333.00,0,58.61,-1
13530,23.05,-5.30,334.00,0,58.78,-1
13531,23.05,-5.64,335.00,0,59.14,-1
13532,23.06,-5.97,337.00,0,59.31,-1
13533,23.07,-6.29,338.00,0,59.49,-1
13534,23.08,-6.61,339.00,0,59.66,-1
13535,23.09,-6.64,340.00,0,59.84,-1
13536,23.09,-7.12,341.00,0,60.02,-1
13537,23.10,-7.37,342.00,0,60.19,-1
13538,23.11,-7.57,344.00,0,60.54,-1
13539,23.12,-8.19,345.00,0,60.72,-1
13540,23.13,-8.44,346.00,0,60.90,-1
13541,23.14,-8.71,348.00,0,61.25,-1
13542,23.15,-9.09,349.00,0,61.42,-1
