cnt,pos,speed,DTorque,DAC,STorque,Force,Dir
1,118.994,0.003,0,0,0,0,1
2,118.994,0,0,0,0,0,1
3,118.994,0,0,0,0,0,1
4,118.994,-0.003,0,0,0,0,1
5,118.994,0.003,0,0,0,0,1
6,118.994,0.003,0,0,0,0,1
7,118.994,0.003,0,0,0,0,1
8,118.994,0.003,0,0,0,0,1
9,118.994,0,0,0,0,0,1
10,118.994,0.0061,0,0,0,0,1
11,118.994,-0.003,0,0,0,0,1
12,118.994,-0.003,0,0,0,0,1
13,118.994,-0.003,0,0,0,0,1
14,118.994,0.003,0,0,0,0,1
15,118.994,0.003,0,0,0,0,1
16,118.994,0,0,0,0,0,1
17,118.994,-0.0061,0,0,0,0,1
18,118.994,0,0,0,0,0,1
19,118.994,-0.003,0,0,0,0,1
20,118.994,0.0061,0,0,0,0,1
21,118.994,0,0,0,0,0,1
22,118.994,0.0091,0,0,0,0,1
23,118.994,0.003,0,0,0,0,1
24,118.994,-0.003,0,0,0,0,1
25,118.994,0,0,0,0,0,1
26,118.994,0,0,0,0,0,1
27,118.994,-0.0061,0,0,0,0,1
28,118.994,-0.0061,0,0,0,0,1
29,118.994,0,0,0,0,0,1
30,118.994,0,0,0,0,0,1
31,118.994,-0.003,0,0,0,0,1
32,118.994,0.003,0,0,0,0,1
33,118.994,-0.003,0,0,0,0,1
34,118.994,0,0,0,0,0,1
35,118.994,0,0,0,0,0,1
36,118.994,0.003,0,0,0,0,1
37,118.994,0,0,0,0,0,1
38,118.994,0.003,0,0,0,0,1
39,118.994,0,0,0,0,0,1
40,118.994,-0.003,0,0,0,0,1
41,118.994,0,0,0,0,0,1
42,118.994,0,0,0,0,0,1
43,118.994,0,0,0,0,0,1
44,118.994,-0.003,0,0,0,0,1
45,118.994,0,0,0,0,0,1
46,118.994,-0.003,0,0,0,0,1
47,118.994,0.0061,0,0,0,0,1
48,118.994,0,0,0,0,0,1
49,118.994,0.0061,0,0,0,0,1
50,118.994,0.003,0,0,0,0,1
51,118.994,-0.003,0,0,0,0,1
52,118.994,0.003,0,0,0,0,1
53,118.994,0.003,0,0,0,0,1
54,118.994,0.003,0,0,0,0,1
55,118.994,0,0,0,0,0,1
56,118.994,0.003,0,0,0,0,1
57,118.994,0.0122,0,0,0,0,1
58,118.994,-0.003,0,0,0,0,1
59,118.994,0.003,0,0,0,0,1
60,118.994,0.003,0,0,0,0,1
61,118.994,0.0061,0,0,0,0,1
62,118.994,-0.0152,0,0,0,0,1
63,118.994,0.0061,0,0,0,0,1
64,118.994,0.003,0,0,0,0,1
65,118.994,0,0,0,0,0,1
66,118.994,0,0,0,0,0,1
67,118.994,0.0061,0,0,0,0,1
68,118.994,0.003,0,0,0,0,1
69,118.995,-0.003,0,0,0,0,1
70,118.995,0.003,0,0,0,0,1
71,118.995,0.0061,0,0,0,0,1
72,118.995,-0.003,0,0,0,0,1
73,118.995,0.003,0,0,0,0,1
74,118.995,0.003,0,0,0,0,1
75,118.995,0,0,0,0,0,1
76,118.995,-0.0396,0,0,0,0,1
77,118.996,-0.0365,0,0,0,0,1
78,118.997,-0.003,0,0,0,0,1
79,118.997,0.003,0,0,0,0,1
80,118.997,0.003,0,0,0,0,1
81,118.997,-0.003,0,0,0,0,1
82,118.997,0,0,0,0,0,1
83,118.997,0,0,0,0,0,1
84,118.997,0,0,0,0,0,1
85,118.997,0,0,0,0,0,1
86,118.997,-0.0152,0,0,0,0,1
87,119.004,-0.8824,0,0,0,0,1
88,119.052,-8.4561,0,0,0,0,1
89,119.498,-24.842,0,0,0,0,1
90,120.898,-97.8709,21,88.3347,0,16,1
91,133.879,-90.2333,125,154.629,0,27,1
92,136.924,-3.0581,161,165.505,0,29,1
93,136.913,9.6216,164,162.118,0,29,1
94,136.614,15.1413,160,159.142,0,28,1
95,136.112,21.1875,156,153.993,0,27,1
96,135.528,22.5294,151,148.21,0,26,1
97,135.02,20.5485,146,143.38,0,25,1
98,134.38,17.6152,139,136.98,0,24,1
99,133.644,17.4052,133,130.287,0,23,1
100,132.977,19.0514,127,125.507,0,22,1
101,132.424,19.517,122,120.623,0,21,1
102,131.845,20.9076,116,113.923,0,20,1
103,131.045,23.3114,109,104.976,0,18,1
104,130.088,20.4907,101,96.6238,0,17,1
105,129.318,8.021,94,93.1932,0,16,1
106,129.176,0.8185,92,92.4856,0,16,1
107,129.172,0.0183,92,92.4856,0,16,1
108,129.172,-0.0243,92,92.4856,0,16,1
109,129.172,-0.003,92,92.4856,0,16,1
110,129.172,-0.0061,92,92.4856,0,16,1
111,129.172,-0.0091,92,92.4856,0,16,1
112,129.172,0.0183,92,92.4856,0,16,1
113,129.172,0,92,92.4856,0,16,1
114,129.172,-0.0061,92,92.4856,0,16,1
