cnt,pos,speed,DTorque,Force,Dir
3752,49.63,-27.92,132.00,0,23.23,0
3753,49.65,-25.28,138.00,0,24.29,0
3754,49.68,-22.63,143.00,0,25.17,0
3755,49.70,-19.83,148.00,0,26.05,0
3756,49.71,-17.36,152.00,0,26.75,0
3757,49.73,-14.20,155.00,0,27.28,0
3758,49.74,-11.54,158.00,0,27.81,0
3759,49.75,-8.46,159.00,0,27.98,0
3760,49.75,-5.78,161.00,0,28.34,0
3761,49.76,-2.83,163.00,0,28.69,0
3762,49.76,0.06,164.00,0,28.86,0
3763,49.75,2.75,165.00,0,29.04,0
3764,49.75,5.13,166.00,0,29.22,0
3765,49.74,7.12,167.00,0,29.39,0
3766,49.73,9.19,167.00,0,29.39,0
3767,49.72,11.23,168.00,0,29.57,0
3768,49.71,13.03,168.00,0,29.57,0
3769,49.69,15.06,169.00,0,29.74,0
3770,49.68,16.92,169.00,0,29.74,0
3771,49.66,18.67,169.00,0,29.74,0
3772,49.64,20.51,170.00,0,29.92,0
3773,49.61,22.40,170.00,0,29.92,0
3774,49.59,24.25,170.00,0,29.92,0
3775,49.56,26.02,170.00,0,29.92,0
3776,49.54,27.95,170.00,0,29.92,0
3777,49.51,29.74,171.00,0,30.10,0
3778,49.48,31.48,171.00,0,30.10,0
3779,49.44,33.07,171.00,0,30.10,0
3780,49.41,34.74,171.00,0,30.10,0
3781,49.37,36.30,172.00,0,30.27,0
3782,49.33,37.81,171.00,0,30.10,0
3783,49.25,40.75,171.00,0,30.10,0
3784,49.21,42.16,170.00,0,29.92,0
3785,49.17,43.70,170.00,0,29.92,0
3786,49.12,45.20,170.00,0,29.92,0
3787,49.08,46.59,170.00,0,29.92,0
3788,48.98,49.21,171.00,0,30.10,0
3789,48.93,50.43,170.00,0,29.92,0
3790,48.88,52.78,170.00,0,29.92,0
3791,48.82,53.94,131.00,0,23.06,0
3792,48.77,53.94,131.00,0,7.92,0
3793,48.71,52.53,-3.00,0,-0.53,0
3794,48.61,49.75,-2.00,0,-0.35,0
3795,48.61,49.75,-2.00,0,-0.35,0
3796,48.57,44.37,-1.00,0,-0.18,0
3797,48.48,41.69,1.00,0,0.18,0
3798,48.44,39.01,2.00,0,0.35,0
3799,48.40,36.50,2.00,0,0.35,0
3800,48.37,33.69,2.00,0,0.35,0
3801,48.34,31.13,2.00,0,0.35,0
3802,48.31,28.52,3.00,0,0.53,0
3803,48.28,25.91,2.00,0,0.53,0
3804,48.26,23.29,3.00,0,0.53,0
3805,48.24,18.20,2.00,0,0.35,0
3806,48.22,15.62,2.00,0,0.35,0
3807,48.19,13.03,2.00,0,0.35,0
3808,48.18,10.76,2.00,0,0.35,0
3809,48.17,8.29,2.00,0,0.35,0
3810,48.17,5.74,2.00,0,0.35,0
3811,48.17,3.50,2.00,0,0.35,0
3812,48.16,1.22,2.00,0,0.35,0
3813,48.17,-1.07,2.00,0,0.35,0
3814,48.17,-2.96,2.00,0,0.35,0
3815,48.17,-4.35,2.00,0,0.35,0
3816,48.18,-5.71,2.00,0,0.35,0
3817,48.19,-7.10,2.00,0,0.35,0
3818,48.19,-8.29,2.00,0,0.35,0
3819,48.20,-9.26,2.00,0,0.35,0
3820,48.21,-10.58,2.00,0,0.35,0
3821,48.23,-11.59,1.00,0,0.18,0
3822,48.24,-12.69,1.00,0,0.18,0
3823,48.25,-13.63,1.00,0,0.18,0
3824,48.27,-14.98,1.00,0,0.18,0
3825,48.28,-15.67,1.00,0,0.18,0
3826,48.30,-16.73,1.00,0,0.18,0
3827,48.32,-17.89,1.00,0,0.18,0
3828,48.34,-18.62,1.00,0,0.18,0
3829,48.36,-19.61,1.00,0,0.18,0
3830,48.38,-20.50,1.00,0,0.18,0
3831,48.40,-21.49,1.00,0,0.18,0
3832,48.42,-22.40,1.00,0,0.18,0
3833,48.44,-23.29,1.00,0,0.18,0
3834,48.47,-24.09,1.00,0,0.18,0
3835,48.49,-24.88,1.00,0,0.18,0
3836,48.52,-25.72,0.00,0,0.00,0
3837,48.54,-26.41,0.00,0,0.00,0
3838,48.57,-27.24,1.00,0,0.18,0
3839,48.60,-27.99,1.00,0,0.18,0
3840,48.63,-28.91,1.00,0,0.18,0
3841,48.66,-29.59,1.00,0,0.18,0
3842,48.69,-30.43,1.00,0,0.18,0
3843,48.72,-31.16,1.00,0,0.18,0
3844,48.75,-31.93,0.00,0,0.00,0
3845,48.78,-32.86,0.00,0,0.00,0
3846,48.85,-34.30,0.00,0,0.00,0
3847,48.89,-35.29,0.00,0,0.00,0
3848,48.92,-35.84,0.00,0,0.00,0
3849,48.96,-36.67,0.00,0,0.00,0
3850,49.00,-37.36,0.00,0,0.00,0
3851,49.04,-38.14,0.00,0,0.00,0
3852,49.07,-38.71,0.00,0,0.00,0
3853,49.11,-39.59,0.00,0,0.00,0
3854,49.15,-40.13,0.00,0,0.00,0
3855,49.19,-40.88,0.00,0,0.00,0
3856,49.24,-41.68,2.00,0,0.35,0
3857,49.28,-42.30,17.00,0,2.99,0
3858,49.32,-43.02,17.00,0,2.99,0
3859,49.37,-43.44,42.00,0,7.39,0
3860,49.41,-42.78,67.00,0,11.79,0
3861,49.45,-41.85,87.00,0,15.31,0
3862,49.49,-40.62,103.00,0,18.13,0
3863,49.53,-38.61,115.00,0,20.24,0
3864,49.57,-36.61,124.00,0,21.82,0
3865,49.60,-34.05,132.00,0,23.23,0
3866,49.63,-31.86,138.00,0,24.29,0
3867,49.66,-29.29,148.00,0,26.05,0
3868,49.69,-26.60,148.00,0,26.05,0
3869,49.71,-23.97,151.00,0,26.58,0
3870,49.73,-21.16,155.00,0,27.28,0
3871,49.75,-18.45,157.00,0,27.63,0
3872,49.77,-15.74,159.00,0,27.98,0
3873,49.78,-12.90,161.00,0,28.34,0
3874,49.79,-10.16,163.00,0,28.69,0
3875,49.80,-7.13,164.00,0,28.86,0
3876,49.80,-4.54,165.00,0,29.04,0
3877,49.80,1.08,167.00,0,29.39,0
3878,49.80,1.08,167.00,0,29.39,0
3879,49.80,3.62,167.00,0,29.39,0
3880,49.79,5.60,168.00,0,29.57,0
3881,49.79,7.55,168.00,0,29.57,0
3882,49.78,9.59,169.00,0,29.74,0
3883,49.76,11.21,169.00,0,29.74,0
3884,49.75,13.28,169.00,0,29.74,0
3885,49.74,14.83,169.00,0,29.74,0
3886,49.72,16.72,170.00,0,29.92,0
3887,49.68,20.02,169.00,0,29.74,0
3888,49.68,21.69,170.00,0,29.92,0
3889,49.66,21.69,170.00,0,29.92,0
3890,49.61,25.02,170.00,0,29.92,0
3891,49.58,26.82,170.00,0,29.92,0
3892,49.56,28.44,170.00,0,29.92,0
3893,49.53,30.20,170.00,0,29.92,0
3894,49.49,31.76,171.00,0,30.10,0
3895,49.46,33.37,172.00,0,30.27,0
3896,49.39,36.41,172.00,0,30.27,0
3897,49.35,38.05,172.00,0,30.27,0
3898,49.31,39.27,171.00,0,30.10,0
3899,49.27,40.87,171.00,0,30.10,0
3900,49.23,42.20,170.00,0,29.92,0
3901,49.19,43.56,170.00,0,29.92,0
3902,49.14,44.89,170.00,0,29.92,0
3903,49.09,47.78,170.00,0,29.92,0
3904,49.00,49.04,171.00,0,30.10,0
3905,48.95,50.23,171.00,0,30.10,0
3906,48.90,51.41,171.00,0,30.10,0
3907,48.84,52.43,170.00,0,29.92,0
3908,48.79,53.69,170.00,0,29.92,0
3909,48.73,55.05,170.00,0,29.92,0
3910,48.68,56.28,132.00,0,23.23,0
3911,48.62,57.05,45.00,0,-0.53,0
3912,48.51,51.97,-2.00,0,-0.35,0
3913,48.46,49.30,-1.00,0,-0.18,0
3914,48.42,46.55,0.00,0,0.00,0
3915,48.37,43.96,1.00,0,0.18,0
3916,48.33,41.13,1.00,0,0.18,0
3917,48.29,38.40,2.00,0,0.35,0
3918,48.26,35.76,3.00,0,0.53,0
3919,48.23,33.08,3.00,0,0.53,0
3920,48.20,30.34,3.00,0,0.53,0
3921,48.17,27.68,3.00,0,0.53,0
3922,48.14,25.21,2.00,0,0.35,0
3923,48.12,20.26,2.00,0,0.35,0
3924,48.08,17.56,2.00,0,0.35,0
3925,48.07,15.02,2.00,0,0.35,0
3926,48.05,12.86,2.00,0,0.35,0
3927,48.04,10.05,2.00,0,0.35,0
3928,48.04,7.91,2.00,0,0.35,0
3929,48.03,5.42,2.00,0,0.35,0
3930,48.03,0.72,2.00,0,0.35,0
3931,48.03,-1.46,2.00,0,0.35,0
3932,48.03,-3.34,2.00,0,0.35,0
3933,48.04,-4.78,2.00,0,0.35,0
3934,48.04,-6.18,2.00,0,0.35,0
3935,48.05,-7.18,2.00,0,0.35,0
3936,48.06,-8.52,2.00,0,0.35,0
3937,48.07,-9.72,2.00,0,0.35,0
3938,48.08,-10.55,1.00,0,0.18,0
3939,48.09,-11.85,1.00,0,0.18,0
3940,48.10,-12.58,1.00,0,0.18,0
3941,48.12,-13.87,1.00,0,0.18,0
3942,48.13,-14.56,1.00,0,0.18,0
3943,48.15,-15.58,1.00,0,0.18,0
3944,48.16,-16.46,1.00,0,0.18,0
3945,48.18,-17.30,1.00,0,0.18,0
3946,48.20,-18.12,1.00,0,0.18,0
3947,48.22,-19.08,1.00,0,0.18,0
3948,48.24,-19.68,1.00,0,0.18,0
3949,48.26,-20.61,1.00,0,0.18,0
3950,48.28,-21.38,1.00,0,0.18,0
3951,48.30,-22.09,1.00,0,0.18,0
3952,48.33,-23.03,1.00,0,0.18,0
3953,48.35,-23.73,1.00,0,0.18,0
3954,48.37,-24.51,1.00,0,0.18,0
3955,48.40,-25.22,1.00,0,0.18,0
3956,48.42,-25.96,1.00,0,0.18,0
3957,48.45,-26.64,1.00,0,0.18,0
3958,48.48,-27.42,0.00,0,0.00,0
3959,48.51,-28.13,0.00,0,0.00,0
3960,48.54,-28.69,0.00,0,0.00,0
3961,48.56,-29.43,0.00,0,0.00,0
3962,48.59,-29.91,0.00,0,0.00,0
3963,48.63,-30.59,0.00,0,0.00,0
3964,48.66,-31.29,1.00,0,0.18,0
3965,48.69,-31.93,0.00,0,0.00,0
3966,48.72,-32.49,0.00,0,0.00,0
3967,48.75,-33.13,0.00,0,0.00,0
3968,48.79,-33.92,0.00,0,0.00,0
3969,48.82,-34.42,0.00,0,0.00,0
3970,48.86,-35.10,0.00,0,0.00,0
3971,48.89,-35.73,0.00,0,0.00,0
3972,48.93,-36.30,0.00,0,0.00,0
3973,48.97,-36.93,0.00,0,0.00,0
3974,49.00,-37.31,0.00,0,0.00,0
3975,49.04,-38.04,0.00,0,0.00,0
3976,49.08,-38.47,0.00,0,0.00,0
3977,49.12,-39.08,0.00,0,0.00,0
3978,49.16,-39.61,0.00,0,0.35,0
3979,49.20,-40.12,2.00,0,2.99,0
3980,49.24,-40.93,42.00,0,7.39,0
3981,49.28,-40.80,67.00,0,11.79,0
3982,49.32,-40.40,67.00,0,11.79,0
3983,49.36,-39.34,87.00,0,15.31,0
3984,49.40,-37.69,103.00,0,18.13,0
3985,49.43,-36.01,114.00,0,20.06,0
3986,49.47,-33.72,124.00,0,21.82,0
3987,49.50,-31.18,133.00,0,23.41,0
3988,49.53,-25.88,144.00,0,25.34,0
3989,49.55,-22.99,148.00,0,26.05,0
3990,49.58,-20.04,152.00,0,26.75,0
3991,49.60,-20.04,152.00,0,27.28,0
3992,49.61,-17.37,155.00,0,27.28,0
3993,49.63,-13.97,157.00,0,27.63,0
